,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
6216,000063.SZ,20150105,18.6,19.36,18.3,19.01,18.06,0.95,5.26,1439682.11,2716251.1848,Communication Services,,20150105,19.01
6215,000063.SZ,20150106,18.9,20.38,18.75,20.11,19.01,1.1,5.79,1618064.78,3151267.1078,Communication Services,0.05625204728422275,20150106,20.11
6214,000063.SZ,20150107,19.9,20.12,19.48,19.71,20.11,-0.4,-1.99,957037.39,1892496.1371,Communication Services,-0.020091082619931814,20150107,19.71
6213,000063.SZ,20150108,19.81,20.78,19.64,19.99,19.71,0.28,1.42,1300971.89,2629736.0059,Communication Services,0.01410602734767964,20150108,19.99
6212,000063.SZ,20150109,19.88,20.38,19.51,19.55,19.99,-0.44,-2.2,989992.64,1980586.1632,Communication Services,-0.022256862080933797,20150109,19.55
6211,000063.SZ,20150112,19.4,19.54,18.9,19.14,19.55,-0.41,-2.1,693938.11,1334164.126,Communication Services,-0.021194900406566557,20150112,19.14
6210,000063.SZ,20150113,19.11,19.78,19.1,19.21,19.14,0.07,0.37,569621.05,1108159.9568,Communication Services,0.003650590755657188,20150113,19.21
6209,000063.SZ,20150114,19.28,19.68,18.88,19.17,19.21,-0.04,-0.21,481802.03,926512.8765,Communication Services,-0.0020844197229120975,20150114,19.17
6208,000063.SZ,20150115,19.4,19.65,19.0,19.65,19.17,0.48,2.5,551026.95,1072295.9755,Communication Services,0.024730781257717036,20150115,19.65
6207,000063.SZ,20150116,19.8,19.97,19.43,19.77,19.65,0.12,0.61,587604.68,1157495.4737,Communication Services,0.006088298867255355,20150116,19.77
6206,000063.SZ,20150119,18.8,19.3,17.79,18.0,19.77,-1.77,-8.95,1113424.49,2075416.341,Communication Services,-0.09379387928636086,20150119,18.0
6205,000063.SZ,20150120,18.65,19.19,18.31,19.08,18.0,1.08,6.0,1074168.66,2023512.6997,Communication Services,0.058268908123975616,20150120,19.08
6204,000063.SZ,20150121,19.4,19.86,19.13,19.68,19.08,0.6,3.14,896215.69,1748863.556,Communication Services,0.03096222560396689,20150121,19.68
6203,000063.SZ,20150122,19.65,19.96,19.45,19.71,19.68,0.03,0.15,739335.09,1456001.9681,Communication Services,0.001523229540521638,20150122,19.71
6202,000063.SZ,20150123,20.21,20.47,19.51,19.68,19.71,-0.03,-0.15,806550.54,1609145.3109,Communication Services,-0.0015232295405215258,20150123,19.68
6201,000063.SZ,20150126,19.86,20.45,19.84,20.38,19.68,0.7,3.56,893855.94,1804030.6258,Communication Services,0.03495113617047146,20150126,20.38
6200,000063.SZ,20150127,20.38,20.74,19.7,20.09,20.38,-0.29,-1.42,855915.69,1728826.0227,Communication Services,-0.014331848967735625,20150127,20.09
6199,000063.SZ,20150128,20.08,20.08,19.6,19.68,20.09,-0.41,-2.04,530005.46,1049413.4288,Communication Services,-0.020619287202735703,20150128,19.68
6198,000063.SZ,20150129,19.49,19.66,19.18,19.32,19.68,-0.36,-1.83,493626.16,957546.3982,Communication Services,-0.018462062839735442,20150129,19.32
6197,000063.SZ,20150130,19.47,19.64,19.12,19.18,19.32,-0.14,-0.72,418523.4,808876.8397,Communication Services,-0.007272759329079809,20150130,19.18
6196,000063.SZ,20150202,19.0,19.0,18.59,18.66,19.18,-0.52,-2.71,453344.03,851627.1946,Communication Services,-0.02748587403609436,20150202,18.66
6195,000063.SZ,20150203,18.83,19.15,18.68,19.13,18.66,0.47,2.52,505011.65,955744.5015,Communication Services,0.024875588032963674,20150203,19.13
6194,000063.SZ,20150204,19.15,19.18,18.59,18.63,19.13,-0.5,-2.61,458324.49,866016.1366,Communication Services,-0.02648459883866445,20150204,18.63
6193,000063.SZ,20150205,18.9,19.37,18.6,18.74,18.63,0.11,0.59,670465.86,1273626.8828,Communication Services,0.005887092196779067,20150205,18.74
6192,000063.SZ,20150206,18.76,18.88,18.11,18.24,18.74,-0.5,-2.67,455348.21,838627.0383,Communication Services,-0.027043292164090797,20150206,18.24
6191,000063.SZ,20150209,18.22,18.59,18.18,18.3,18.24,0.06,0.33,314738.11,579591.4776,Communication Services,0.0032840752011900187,20150209,18.3
6190,000063.SZ,20150210,18.53,18.74,18.31,18.74,18.3,0.44,2.4,329188.09,610486.8017,Communication Services,0.023759216962900724,20150210,18.74
6189,000063.SZ,20150211,19.09,19.72,19.0,19.7,18.74,0.96,5.12,807165.6,1567349.9969,Communication Services,0.04995835893366676,20150211,19.7
6188,000063.SZ,20150212,19.78,20.15,19.35,19.58,19.7,-0.12,-0.61,817185.01,1611749.2553,Communication Services,-0.006109998641578585,20150212,19.58
6187,000063.SZ,20150213,19.7,20.08,19.57,19.69,19.58,0.11,0.56,690923.5,1368920.9842,Communication Services,0.005602255548669973,20150213,19.69
6186,000063.SZ,20150216,19.88,20.64,19.7,20.63,19.69,0.94,4.77,1078120.61,2187347.9866,Communication Services,0.04663543443212626,20150216,20.63
6185,000063.SZ,20150217,20.81,20.92,20.21,20.23,20.63,-0.4,-1.94,751819.71,1536232.7526,Communication Services,-0.019579675903506236,20150217,20.23
6184,000063.SZ,20150225,20.28,20.28,19.62,19.66,20.23,-0.57,-2.82,616858.82,1223862.4918,Communication Services,-0.028580536460633577,20150225,19.66
6183,000063.SZ,20150226,19.78,20.06,19.65,20.0,19.66,0.34,1.73,486489.85,966515.1657,Communication Services,0.017146158834970584,20150226,20.0
6182,000063.SZ,20150227,20.15,20.95,20.06,20.56,20.0,0.56,2.8,1039301.54,2137258.7795,Communication Services,0.02761516703297339,20150227,20.56
