,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
163504,002920.SZ,20171226,24.5,29.4,24.5,29.4,20.42,8.98,43.98,597.15,1752.288,Consumer Discretionary,,20171226,29.4
163503,002920.SZ,20171227,32.34,32.34,32.34,32.34,29.4,2.94,10.0,253.0,818.202,Consumer Discretionary,0.09531017980432493,20171227,32.34
163502,002920.SZ,20171228,35.57,35.57,35.57,35.57,32.34,3.23,9.99,336.7,1197.641,Consumer Discretionary,0.09519773181140286,20171228,35.57
163501,002920.SZ,20171229,39.13,39.13,39.13,39.13,35.57,3.56,10.01,1504.58,5887.421,Consumer Discretionary,0.0953868502619574,20171229,39.13
163500,002920.SZ,20180102,43.04,43.04,43.04,43.04,39.13,3.91,9.99,27117.87,116715.312,Consumer Discretionary,0.09524047963120777,20180102,43.04
163499,002920.SZ,20180103,45.0,47.0,42.02,44.56,43.04,1.52,3.53,526376.92,2333228.464,Consumer Discretionary,0.03470667976549977,20180103,44.56
163498,002920.SZ,20180104,43.39,48.0,43.15,46.16,44.56,1.6,3.59,423058.81,1933484.554,Consumer Discretionary,0.035277026580815454,20180104,46.16
163497,002920.SZ,20180105,46.12,47.5,43.5,43.63,46.16,-2.53,-5.48,332764.78,1497286.565,Consumer Discretionary,-0.05636863506432581,20180105,43.63
163496,002920.SZ,20180108,47.89,47.99,46.38,47.99,43.63,4.36,9.99,392155.31,1866861.55,Consumer Discretionary,0.0952476687346358,20180108,47.99
163495,002920.SZ,20180109,48.0,48.75,44.33,45.14,47.99,-2.85,-5.94,391377.66,1804919.012,Consumer Discretionary,-0.06122388448076456,20180109,45.14
163494,002920.SZ,20180110,43.68,44.63,42.28,43.21,45.14,-1.93,-4.28,259853.86,1127222.493,Consumer Discretionary,-0.04369682144554783,20180110,43.21
163493,002920.SZ,20180111,42.71,44.8,41.51,43.76,43.21,0.55,1.27,209581.94,914654.991,Consumer Discretionary,0.012648208169883997,20180111,43.76
163492,002920.SZ,20180112,42.95,43.75,41.64,41.71,43.76,-2.05,-4.68,176277.67,747991.387,Consumer Discretionary,-0.047979249904871867,20180112,41.71
163491,002920.SZ,20180115,41.0,41.0,38.51,39.18,41.71,-2.53,-6.07,179853.34,713946.683,Consumer Discretionary,-0.06257449569245926,20180115,39.18
163490,002920.SZ,20180116,38.91,40.2,38.9,39.46,39.18,0.28,0.71,113379.9,450260.813,Consumer Discretionary,0.007121088078074555,20180116,39.46
163489,002920.SZ,20180117,39.17,40.47,38.68,39.96,39.46,0.5,1.27,118725.04,470895.022,Consumer Discretionary,0.012591453185883408,20180117,39.96
163488,002920.SZ,20180118,39.59,39.97,39.0,39.0,39.96,-0.96,-2.4,90971.12,358078.842,Consumer Discretionary,-0.024317307650706357,20180118,39.0
163487,002920.SZ,20180119,39.01,39.97,38.9,39.26,39.0,0.26,0.67,88389.98,348178.131,Consumer Discretionary,0.006644542718668511,20180119,39.26
163486,002920.SZ,20180122,39.65,39.65,37.5,38.26,39.26,-1.0,-2.55,94446.0,363716.201,Consumer Discretionary,-0.025801224836208208,20180122,38.26
163485,002920.SZ,20180123,38.3,39.88,38.3,39.49,38.26,1.23,3.21,103528.84,407670.591,Consumer Discretionary,0.031642511286451444,20180123,39.49
163484,002920.SZ,20180124,39.3,40.88,39.0,40.07,39.49,0.58,1.47,117199.14,470900.443,Consumer Discretionary,0.014580449349495058,20180124,40.07
163483,002920.SZ,20180125,40.2,40.8,39.6,39.82,40.07,-0.25,-0.62,102524.73,412524.895,Consumer Discretionary,-0.00625862601200298,20180125,39.82
163482,002920.SZ,20180126,39.51,39.74,38.32,38.9,39.82,-0.92,-2.31,107787.73,418542.08,Consumer Discretionary,-0.023375048011649625,20180126,38.9
163481,002920.SZ,20180129,38.68,38.99,37.62,38.04,38.9,-0.86,-2.21,69693.65,266362.007,Consumer Discretionary,-0.022356012947211002,20180129,38.04
163480,002920.SZ,20180130,37.66,38.49,37.58,38.33,38.04,0.29,0.76,54786.35,208903.738,Consumer Discretionary,0.007594641715274117,20180130,38.33
163479,002920.SZ,20180131,38.0,38.0,35.48,35.55,38.33,-2.78,-7.25,97956.28,358256.831,Consumer Discretionary,-0.0752927231432139,20180131,35.55
163478,002920.SZ,20180201,35.8,36.15,33.28,33.59,35.55,-1.96,-5.51,102285.18,351409.183,Consumer Discretionary,-0.05671175262504837,20180201,33.59
163477,002920.SZ,20180202,33.42,34.18,32.0,33.93,33.59,0.34,1.01,75910.48,254146.094,Consumer Discretionary,0.01007117517193727,20180202,33.93
163476,002920.SZ,20180205,33.08,34.71,33.03,33.33,33.93,-0.6,-1.77,49659.52,168700.32,Consumer Discretionary,-0.017841686476490447,20180205,33.33
163475,002920.SZ,20180206,32.11,33.92,32.02,32.61,33.33,-0.72,-2.16,77134.46,254781.764,Consumer Discretionary,-0.02183890251842052,20180206,32.61
163474,002920.SZ,20180207,33.5,35.86,32.52,34.69,32.61,2.08,6.38,102350.23,348568.811,Consumer Discretionary,0.06183247118043062,20180207,34.69
163473,002920.SZ,20180208,34.57,36.9,34.29,35.49,34.69,0.8,2.31,85583.43,305538.238,Consumer Discretionary,0.022799505676746774,20180208,35.49
