,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
31154,000596.SZ,20150105,36.85,39.46,35.9,39.24,36.95,2.29,6.2,102741.34,392931.5826,Consumer Staples,,20150105,39.24
31153,000596.SZ,20150106,38.5,39.2,37.77,38.42,39.24,-0.82,-2.09,61553.79,236130.1077,Consumer Staples,-0.021118477356751743,20150106,38.42
31152,000596.SZ,20150107,37.91,38.83,36.87,37.1,38.42,-1.32,-3.44,58494.33,219085.5182,Consumer Staples,-0.03496118772702116,20150107,37.1
31151,000596.SZ,20150108,37.0,38.9,35.81,37.68,37.1,0.58,1.56,65955.66,243255.3967,Consumer Staples,0.015512480094772881,20150108,37.68
31150,000596.SZ,20150109,36.8,38.09,36.55,36.55,37.68,-1.13,-3.0,42427.58,157635.2422,Consumer Staples,-0.03044826351237488,20150109,36.55
31149,000596.SZ,20150112,36.07,36.18,34.23,34.25,36.55,-2.3,-6.29,55850.63,196331.9321,Consumer Staples,-0.06499462148755313,20150112,34.25
31148,000596.SZ,20150113,34.13,34.84,33.18,33.36,34.25,-0.89,-2.6,51337.26,174644.3995,Consumer Staples,-0.026328987217688338,20150113,33.36
31147,000596.SZ,20150114,33.38,33.85,32.07,32.42,33.36,-0.94,-2.82,76048.59,249101.391,Consumer Staples,-0.0285820611830159,20150114,32.42
31146,000596.SZ,20150115,32.56,33.26,32.4,33.1,32.42,0.68,2.1,54548.65,179109.2889,Consumer Staples,0.020757766075487183,20150115,33.1
31145,000596.SZ,20150116,33.37,33.78,33.19,33.45,33.1,0.35,1.06,57315.17,191632.4346,Consumer Staples,0.010518504191220317,20150116,33.45
31144,000596.SZ,20150119,32.13,34.18,30.73,32.35,33.45,-1.1,-3.29,69396.53,228895.9473,Consumer Staples,-0.03343776562732795,20150119,32.35
31143,000596.SZ,20150120,32.75,33.4,32.2,32.78,32.35,0.43,1.33,67383.62,220913.3771,Consumer Staples,0.013204552368774018,20150120,32.78
31142,000596.SZ,20150121,32.8,34.25,32.65,34.25,32.78,1.47,4.48,82622.99,277471.7851,Consumer Staples,0.04386799139255064,20150121,34.25
31141,000596.SZ,20150122,34.28,34.42,33.65,34.35,34.25,0.1,0.29,54772.04,186749.18,Consumer Staples,0.002915453960124135,20150122,34.35
31140,000596.SZ,20150123,34.3,34.3,33.36,33.51,34.35,-0.84,-2.45,45226.73,152916.3946,Consumer Staples,-0.024758116919139463,20150123,33.51
31139,000596.SZ,20150126,33.4,33.5,32.36,33.0,33.51,-0.51,-1.52,82407.08,270302.0998,Consumer Staples,-0.015336340282738751,20150126,33.0
31138,000596.SZ,20150127,33.0,33.5,31.71,32.5,33.0,-0.5,-1.52,70584.76,229603.3703,Consumer Staples,-0.01526747213078842,20150127,32.5
31137,000596.SZ,20150128,32.5,32.79,32.11,32.45,32.5,-0.05,-0.15,59860.92,194484.546,Consumer Staples,-0.0015396461855927501,20150128,32.45
31136,000596.SZ,20150129,31.99,32.42,31.8,32.0,32.45,-0.45,-1.39,34709.53,111360.7474,Consumer Staples,-0.01396454035037256,20150129,32.0
31135,000596.SZ,20150130,32.09,33.89,32.09,33.82,32.0,1.82,5.69,136514.99,455893.2118,Consumer Staples,0.0553164406707077,20150130,33.82
31134,000596.SZ,20150202,33.48,34.2,32.8,33.26,33.82,-0.56,-1.66,67753.3,225914.5793,Consumer Staples,-0.016696869705652723,20150202,33.26
31133,000596.SZ,20150203,33.11,33.58,32.3,32.82,33.26,-0.44,-1.32,60011.9,196065.9785,Consumer Staples,-0.013317388102836737,20150203,32.82
31132,000596.SZ,20150204,32.86,33.95,32.39,33.23,32.82,0.41,1.25,81906.96,272798.339,Consumer Staples,0.012414996704558008,20150204,33.23
31131,000596.SZ,20150205,33.35,33.91,32.55,32.7,33.23,-0.53,-1.59,65274.35,216476.2615,Consumer Staples,-0.016078004463295048,20150205,32.7
31130,000596.SZ,20150206,32.59,32.59,30.47,30.47,32.7,-2.23,-6.82,82549.1,256549.1253,Consumer Staples,-0.07063248490559021,20150206,30.47
31129,000596.SZ,20150209,29.81,31.45,29.7,30.9,30.47,0.43,1.41,44769.69,138488.1304,Consumer Staples,0.014013590906082101,20150209,30.9
31128,000596.SZ,20150210,31.0,32.2,30.96,31.29,30.9,0.39,1.26,41667.59,132148.3248,Consumer Staples,0.012542373777091118,20150210,31.29
31127,000596.SZ,20150211,31.09,31.68,30.8,31.49,31.29,0.2,0.64,35340.61,109959.532,Consumer Staples,0.006371477432142384,20150211,31.49
31126,000596.SZ,20150212,31.25,31.46,31.02,31.17,31.49,-0.32,-1.02,27453.97,85691.1188,Consumer Staples,-0.010213941333687474,20150212,31.17
31125,000596.SZ,20150213,31.2,31.9,31.2,31.5,31.17,0.33,1.06,39516.6,124832.9305,Consumer Staples,0.010531452052341513,20150213,31.5
31124,000596.SZ,20150216,31.51,31.66,30.91,31.5,31.5,0.0,0.0,33799.5,105901.9427,Consumer Staples,0.0,20150216,31.5
31123,000596.SZ,20150217,31.51,31.6,31.03,31.06,31.5,-0.44,-1.4,32956.26,102810.0627,Consumer Staples,-0.014066728111046362,20150217,31.06
31122,000596.SZ,20150225,31.07,31.27,30.45,30.54,31.06,-0.52,-1.67,31601.27,97840.0247,Consumer Staples,-0.016883517930054593,20150225,30.54
31121,000596.SZ,20150226,30.5,31.16,30.45,31.14,30.54,0.6,1.96,33909.21,104666.3717,Consumer Staples,0.01945586661536588,20150226,31.14
31120,000596.SZ,20150227,31.14,31.6,31.13,31.52,31.14,0.38,1.22,43568.53,137048.1979,Consumer Staples,0.012129098583826069,20150227,31.52
31119,000596.SZ,20150302,31.6,32.0,31.13,31.95,31.52,0.43,1.36,59451.24,187624.1889,Consumer Staples,0.01354991583386533,20150302,31.95
31118,000596.SZ,20150303,31.89,32.15,31.5,31.78,31.95,-0.17,-0.53,43082.44,137016.3615,Consumer Staples,-0.005335019714973833,20150303,31.78
31117,000596.SZ,20150304,31.41,32.78,31.41,32.49,31.78,0.71,2.23,55432.83,178360.9844,Consumer Staples,0.022095188572439136,20150304,32.49
31116,000596.SZ,20150305,32.25,32.5,31.83,32.14,32.49,-0.35,-1.08,40233.97,129570.5135,Consumer Staples,-0.010830989371642416,20150305,32.14
31115,000596.SZ,20150306,32.1,32.76,31.85,32.15,32.14,0.01,0.03,37314.42,120578.3381,Consumer Staples,0.0003110903742618489,20150306,32.15
31114,000596.SZ,20150309,32.1,32.1,30.91,31.88,32.15,-0.27,-0.84,35344.88,111021.6371,Consumer Staples,-0.008433596761614096,20150309,31.88
31113,000596.SZ,20150310,31.89,31.92,31.3,31.66,31.88,-0.22,-0.69,41159.85,130025.4778,Consumer Staples,-0.006924799469148172,20150310,31.66
31112,000596.SZ,20150311,31.5,32.3,31.43,32.23,31.66,0.57,1.8,57882.29,185006.6174,Consumer Staples,0.01784364137448038,20150311,32.23
31111,000596.SZ,20150312,32.53,34.8,32.23,33.86,32.23,1.63,5.06,122130.02,408853.4825,Consumer Staples,0.04933668087764292,20150312,33.86
31110,000596.SZ,20150313,33.6,34.3,32.81,33.52,33.86,-0.34,-1.0,67697.12,226382.3645,Consumer Staples,-0.010092101091106911,20150313,33.52
31109,000596.SZ,20150316,34.03,34.36,33.35,34.12,33.52,0.6,1.79,62210.92,210829.0215,Consumer Staples,0.017741447009595842,20150316,34.12
31108,000596.SZ,20150317,34.17,35.25,33.9,34.34,34.12,0.22,0.64,80831.1,279292.1751,Consumer Staples,0.006427132845851172,20150317,34.34
31107,000596.SZ,20150318,34.4,34.93,34.02,34.59,34.34,0.25,0.73,67693.56,233161.1983,Consumer Staples,0.007253767479747818,20150318,34.59
31106,000596.SZ,20150319,34.8,34.84,33.65,33.83,34.59,-0.76,-2.2,66949.37,228827.2293,Consumer Staples,-0.022216640156460427,20150319,33.83
31105,000596.SZ,20150320,33.85,34.65,33.65,34.3,33.83,0.47,1.39,62894.88,214958.3033,Consumer Staples,0.013797371379277189,20150320,34.3
31104,000596.SZ,20150323,34.3,34.9,34.3,34.79,34.3,0.49,1.43,71187.96,246673.7595,Consumer Staples,0.014184634991956381,20150323,34.79
31103,000596.SZ,20150324,34.79,35.93,33.4,35.92,34.79,1.13,3.25,153456.81,537563.3144,Consumer Staples,0.03196425427014829,20150324,35.92
31102,000596.SZ,20150325,35.58,36.29,35.06,35.61,35.92,-0.31,-0.86,95673.88,341381.6281,Consumer Staples,-0.008667746144312562,20150325,35.61
31101,000596.SZ,20150326,35.41,38.04,35.16,36.8,35.61,1.19,3.34,116187.87,424492.9097,Consumer Staples,0.032871347885198715,20150326,36.8
31100,000596.SZ,20150327,36.35,37.18,36.01,36.22,36.8,-0.58,-1.58,62286.67,226700.4811,Consumer Staples,-0.015886392719617913,20150327,36.22
31099,000596.SZ,20150330,36.21,36.9,35.81,36.42,36.22,0.2,0.55,77109.14,280328.2297,Consumer Staples,0.005506621844194737,20150330,36.42
31098,000596.SZ,20150331,36.3,36.66,34.85,35.0,36.42,-1.42,-3.9,113491.85,403894.2345,Consumer Staples,-0.03977001281004825,20150331,35.0
31097,000596.SZ,20150401,35.0,35.34,34.7,35.23,35.0,0.23,0.66,67752.72,237548.301,Consumer Staples,0.006549930863732468,20150401,35.23
31096,000596.SZ,20150402,35.48,35.56,34.81,35.05,35.23,-0.18,-0.51,76789.59,269793.1889,Consumer Staples,-0.005122378872547179,20150402,35.05
31095,000596.SZ,20150403,34.56,35.93,34.56,35.91,35.05,0.86,2.45,95841.61,338043.3413,Consumer Staples,0.024240194757392464,20150403,35.91
31094,000596.SZ,20150407,35.91,36.5,35.61,36.34,35.91,0.43,1.2,105335.22,379848.2791,Consumer Staples,0.01190325473003393,20150407,36.34
31093,000596.SZ,20150408,36.25,37.47,36.09,36.52,36.34,0.18,0.5,119194.62,437231.6942,Consumer Staples,0.004940992758742628,20150408,36.52
31092,000596.SZ,20150409,36.53,36.96,35.21,35.5,36.52,-1.02,-2.79,79137.76,283856.2742,Consumer Staples,-0.028327359245397695,20150409,35.5
31091,000596.SZ,20150410,35.33,36.98,35.32,36.96,35.5,1.46,4.11,117264.07,426320.2812,Consumer Staples,0.040303550292113285,20150410,36.96
31090,000596.SZ,20150413,37.14,38.08,36.7,37.6,36.96,0.64,1.73,124577.63,467299.5982,Consumer Staples,0.017167803622365498,20150413,37.6
31089,000596.SZ,20150414,37.8,38.5,37.0,37.09,37.6,-0.51,-1.36,112524.1,423989.7145,Consumer Staples,-0.013656658894349381,20150414,37.09
31088,000596.SZ,20150415,37.0,37.0,35.35,35.35,37.09,-1.74,-4.69,75570.7,272788.6348,Consumer Staples,-0.04804899915891777,20150415,35.35
31087,000596.SZ,20150416,35.3,38.8,34.35,37.99,35.35,2.64,7.47,156139.41,583157.059,Consumer Staples,0.07202457485695245,20150416,37.99
31086,000596.SZ,20150417,38.05,39.1,37.5,37.91,37.99,-0.08,-0.21,111725.05,426249.6733,Consumer Staples,-0.00210803767129092,20150417,37.91
31085,000596.SZ,20150420,37.92,39.82,37.15,38.19,37.91,0.28,0.74,160442.93,620343.8356,Consumer Staples,0.007358771709181419,20150420,38.19
31084,000596.SZ,20150421,38.0,41.18,37.95,40.9,38.19,2.71,7.1,166681.32,667650.6727,Consumer Staples,0.06855636181133123,20150421,40.9
