,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
309975,600519.SH,20150105,189.62,204.24,188.69,202.52,189.62,12.9,6.8,94515.17,1875063.136,Consumer Staples,,20150105,202.52
309974,600519.SH,20150106,200.0,202.56,196.02,197.83,202.52,-4.69,-2.32,55020.01,1094977.375,Consumer Staples,-0.023430571061707723,20150106,197.83
309973,600519.SH,20150107,196.04,199.5,189.99,192.94,197.83,-4.89,-2.47,54797.84,1063925.641,Consumer Staples,-0.02502881629759317,20150107,192.94
309972,600519.SH,20150108,194.0,194.52,190.14,191.76,192.94,-1.18,-0.61,40525.3,777874.67,Consumer Staples,-0.006134669616278679,20150108,191.76
309971,600519.SH,20150109,190.4,195.77,190.11,190.31,191.76,-1.45,-0.76,53982.2,1039955.153,Consumer Staples,-0.00759026859719286,20150109,190.31
309970,600519.SH,20150112,190.0,192.59,184.46,186.43,190.31,-3.88,-2.04,49914.59,934643.414,Consumer Staples,-0.020598488021565834,20150112,186.43
309969,600519.SH,20150113,187.0,188.54,184.6,184.88,186.43,-1.55,-0.83,36708.08,683429.624,Consumer Staples,-0.008348867541244892,20150113,184.88
309968,600519.SH,20150114,185.0,186.5,180.88,183.18,184.88,-1.7,-0.92,52403.44,965036.184,Consumer Staples,-0.009237689991283701,20150114,183.18
309967,600519.SH,20150115,183.89,186.4,182.48,186.07,183.18,2.89,1.58,48585.52,895503.097,Consumer Staples,0.015653671024708438,20150115,186.07
309966,600519.SH,20150116,186.2,188.0,185.98,186.11,186.07,0.04,0.02,39978.06,746304.289,Consumer Staples,0.0002149497563223368,20150116,186.11
309965,600519.SH,20150119,181.0,183.2,171.47,175.48,186.11,-10.63,-5.71,64679.37,1151544.267,Consumer Staples,-0.058812820457859155,20150119,175.48
309964,600519.SH,20150120,176.02,180.5,173.0,178.08,175.48,2.6,1.48,61022.74,1086018.454,Consumer Staples,0.01470781122922161,20150120,178.08
309963,600519.SH,20150121,178.27,182.9,177.2,182.36,178.08,4.28,2.4,52674.74,950750.407,Consumer Staples,0.023749867818005962,20150121,182.36
309962,600519.SH,20150122,182.37,184.36,180.0,181.23,182.36,-1.13,-0.62,38254.81,696541.254,Consumer Staples,-0.006215812526481261,20150122,181.23
309961,600519.SH,20150123,180.12,183.28,180.11,181.02,181.23,-0.21,-0.12,33084.55,600627.336,Consumer Staples,-0.001159420419734708,20150123,181.02
309960,600519.SH,20150126,181.7,183.5,181.05,182.8,181.02,1.78,0.98,35649.06,650642.102,Consumer Staples,0.009785136621024943,20150126,182.8
309959,600519.SH,20150127,182.82,182.82,178.0,180.11,182.8,-2.69,-1.47,41883.62,755025.862,Consumer Staples,-0.01482488367108355,20150127,180.11
309958,600519.SH,20150128,179.0,180.4,177.3,177.47,180.11,-2.64,-1.47,30680.66,547979.157,Consumer Staples,-0.01476619480249266,20150128,177.47
309957,600519.SH,20150129,176.2,178.0,175.0,176.15,177.47,-1.32,-0.74,32492.54,571553.419,Consumer Staples,-0.00746567575922679,20150129,176.15
309956,600519.SH,20150130,176.99,181.0,176.5,177.18,176.15,1.03,0.58,47508.34,848744.494,Consumer Staples,0.005830260196639767,20150130,177.18
309955,600519.SH,20150202,175.51,176.4,173.5,174.82,177.18,-2.36,-1.33,33983.36,593379.653,Consumer Staples,-0.013409291831544497,20150202,174.82
309954,600519.SH,20150203,177.48,178.65,176.2,178.37,174.82,3.55,2.03,27792.8,493512.567,Consumer Staples,0.020103171417870144,20150203,178.37
309953,600519.SH,20150204,179.15,182.08,177.0,177.25,178.37,-1.12,-0.63,35293.71,634135.328,Consumer Staples,-0.006298879157975204,20150204,177.25
309952,600519.SH,20150205,178.97,180.9,174.0,174.05,177.25,-3.2,-1.81,41239.62,735861.121,Consumer Staples,-0.018218551154788876,20150205,174.05
309951,600519.SH,20150206,174.64,176.5,173.6,174.6,174.05,0.55,0.32,37102.38,648205.629,Consumer Staples,0.003155029148053734,20150206,174.6
309950,600519.SH,20150209,175.77,185.1,175.0,184.3,174.6,9.7,5.56,87293.58,1584342.294,Consumer Staples,0.05406722127027579,20150209,184.3
309949,600519.SH,20150210,184.8,185.2,181.45,182.88,184.3,-1.42,-0.77,53638.87,984795.852,Consumer Staples,-0.007734664629277204,20150210,182.88
309948,600519.SH,20150211,182.4,184.25,182.08,183.15,182.88,0.27,0.15,22894.79,420358.857,Consumer Staples,0.0014752891783229606,20150211,183.15
309947,600519.SH,20150212,183.99,184.49,182.01,183.57,183.15,0.42,0.23,25050.98,458818.631,Consumer Staples,0.002290576917735465,20150212,183.57
309946,600519.SH,20150213,184.11,184.5,181.4,182.49,183.57,-1.08,-0.59,40127.05,734977.407,Consumer Staples,-0.005900689141835114,20150213,182.49
309945,600519.SH,20150216,182.54,183.63,181.22,183.31,182.49,0.82,0.45,39521.08,722512.103,Consumer Staples,0.004483331730549684,20150216,183.31
309944,600519.SH,20150217,183.55,183.89,181.91,182.22,183.31,-1.09,-0.59,34172.55,624854.087,Consumer Staples,-0.005963960445561018,20150217,182.22
309943,600519.SH,20150225,183.0,185.7,181.11,183.96,182.22,1.74,0.95,59935.12,1104113.268,Consumer Staples,0.009503594386010637,20150225,183.96
309942,600519.SH,20150226,183.8,188.39,183.55,186.64,183.96,2.68,1.46,62297.72,1163369.598,Consumer Staples,0.014463285041451297,20150226,186.64
309941,600519.SH,20150227,186.9,194.5,186.8,191.05,186.64,4.41,2.36,63370.94,1217723.178,Consumer Staples,0.02335354617973465,20150227,191.05
309940,600519.SH,20150302,190.8,193.8,189.0,190.73,191.05,-0.32,-0.17,31098.7,592027.084,Consumer Staples,-0.0016763585045737575,20150302,190.73
309939,600519.SH,20150303,189.3,192.0,185.16,185.95,190.73,-4.78,-2.51,42999.6,812905.777,Consumer Staples,-0.02538099501725626,20150303,185.95
309938,600519.SH,20150304,186.99,188.01,184.6,187.19,185.95,1.24,0.67,40662.23,757815.044,Consumer Staples,0.006646323442158806,20150304,187.19
309937,600519.SH,20150305,185.01,187.03,184.05,185.52,187.19,-1.67,-0.89,36206.24,670609.773,Consumer Staples,-0.008961450865961468,20150305,185.52
309936,600519.SH,20150306,185.35,186.48,183.27,183.62,185.52,-1.9,-1.02,25470.66,471454.744,Consumer Staples,-0.010294288231722334,20150306,183.62
309935,600519.SH,20150309,185.8,192.99,183.8,191.56,183.62,7.94,4.32,43486.03,815432.195,Consumer Staples,0.042332670758854746,20150309,191.56
309934,600519.SH,20150310,190.94,191.5,187.28,187.83,191.56,-3.73,-1.95,29637.06,561292.473,Consumer Staples,-0.019663777049079834,20150310,187.83
309933,600519.SH,20150311,187.83,193.0,187.8,191.98,187.83,4.15,2.21,40583.39,778418.696,Consumer Staples,0.021853901510062026,20150311,191.98
