,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
43400,000723.SZ,20150105,7.78,8.56,7.7,8.56,7.78,0.78,10.03,312295.03,259623.0909,Energy,,20150105,8.56
43399,000723.SZ,20150106,8.57,8.57,8.1,8.17,8.56,-0.39,-4.56,214874.55,177590.0638,Energy,-0.04663128128173927,20150106,8.17
43398,000723.SZ,20150107,8.07,8.28,8.01,8.25,8.17,0.08,0.98,126686.75,103433.9566,Energy,0.009744291474678141,20150107,8.25
43397,000723.SZ,20150108,8.17,8.4,8.01,8.19,8.25,-0.06,-0.73,129268.5,106524.3705,Energy,-0.007299302481611608,20150108,8.19
43396,000723.SZ,20150109,8.12,8.27,8.01,8.01,8.19,-0.18,-2.2,67682.88,55045.266,Energy,-0.022223136784710124,20150109,8.01
43395,000723.SZ,20150112,7.92,8.01,7.65,7.65,8.01,-0.36,-4.49,63698.48,49511.2886,Energy,-0.045985113241823264,20150112,7.65
43394,000723.SZ,20150113,7.65,7.73,7.56,7.65,7.65,0.0,0.0,33576.03,25741.0686,Energy,0.0,20150113,7.65
43393,000723.SZ,20150114,7.65,7.78,7.43,7.5,7.65,-0.15,-1.96,38436.23,29317.8554,Energy,-0.019802627296179754,20150114,7.5
43392,000723.SZ,20150115,7.5,7.79,7.42,7.79,7.5,0.29,3.87,61322.39,46580.6185,Energy,0.037937839340392104,20150115,7.79
43391,000723.SZ,20150116,7.75,7.89,7.65,7.87,7.79,0.08,1.03,50127.96,39069.6229,Energy,0.010217202546654914,20150116,7.87
43390,000723.SZ,20150119,7.7,8.19,7.08,7.73,7.87,-0.14,-1.78,142755.82,110275.7994,Energy,-0.017949199829981253,20150119,7.73
43389,000723.SZ,20150120,7.7,8.03,7.61,7.96,7.73,0.23,2.98,74352.96,58432.2546,Energy,0.029320137256961008,20150120,7.96
43388,000723.SZ,20150121,7.95,8.32,7.91,8.2,7.96,0.24,3.02,129194.32,105971.8216,Energy,0.029705154413915694,20150121,8.2
43387,000723.SZ,20150122,8.28,8.46,8.15,8.31,8.2,0.11,1.34,122150.78,101600.5562,Energy,0.013325454597149625,20150122,8.31
43386,000723.SZ,20150123,8.4,8.56,8.13,8.2,8.31,-0.11,-1.32,75906.57,62665.1424,Energy,-0.013325454597149509,20150123,8.2
43385,000723.SZ,20150126,8.15,8.28,8.11,8.26,8.2,0.06,0.73,69213.26,56681.1009,Energy,0.007290433262679274,20150126,8.26
43384,000723.SZ,20150127,8.26,8.3,7.97,8.09,8.26,-0.17,-2.06,111947.19,90770.1211,Energy,-0.020795856462486367,20150127,8.09
43383,000723.SZ,20150128,8.14,8.18,8.05,8.12,8.09,0.03,0.37,74574.1,60590.2109,Energy,0.003701423103186184,20150128,8.12
43382,000723.SZ,20150129,8.05,8.38,8.02,8.32,8.12,0.2,2.46,139575.26,115166.4224,Energy,0.02433210065953072,20150129,8.32
43381,000723.SZ,20150130,8.3,8.35,7.92,7.92,8.32,-0.4,-4.81,81887.39,66880.5369,Energy,-0.049271049006782794,20150130,7.92
43380,000723.SZ,20150202,7.9,7.91,7.66,7.78,7.92,-0.14,-1.77,54801.87,42635.0471,Energy,-0.0178348676360342,20150202,7.78
43379,000723.SZ,20150203,7.8,7.96,7.8,7.91,7.78,0.13,1.67,30835.44,24287.3507,Energy,0.01657144358926216,20150203,7.91
43378,000723.SZ,20150204,7.93,7.99,7.78,7.79,7.91,-0.12,-1.52,36827.69,29074.9461,Energy,-0.01528692189690565,20150204,7.79
43377,000723.SZ,20150205,7.88,7.9,7.69,7.71,7.79,-0.08,-1.03,37281.42,28996.1718,Energy,-0.010322672307418837,20150205,7.71
43376,000723.SZ,20150206,7.68,7.78,7.45,7.5,7.71,-0.21,-2.72,43374.85,32769.988,Energy,-0.02761516703297338,20150206,7.5
43375,000723.SZ,20150209,7.5,7.62,7.45,7.49,7.5,-0.01,-0.13,26789.39,20166.0942,Energy,-0.0013342230131366103,20150209,7.49
