,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
240651,600028.SH,20150105,6.59,7.14,6.45,7.14,6.49,0.65,10.02,11864996.45,8139851.035,Energy,,20150105,7.14
240650,600028.SH,20150106,7.18,7.22,6.81,7.0,7.14,-0.14,-1.96,10899984.33,7634184.705,Energy,-0.019802627296179643,20150106,7.0
240649,600028.SH,20150107,6.91,7.26,6.76,7.18,7.0,0.18,2.57,7873153.01,5489033.816,Energy,0.025389234004819378,20150107,7.18
240648,600028.SH,20150108,7.09,7.41,6.83,6.85,7.18,-0.33,-4.6,8190902.35,5822718.449,Energy,-0.04705073078599886,20150108,6.85
240647,600028.SH,20150109,6.78,7.03,6.64,6.73,6.85,-0.12,-1.75,6032037.47,4120401.749,Energy,-0.01767350861749733,20150109,6.73
240646,600028.SH,20150112,6.64,6.73,6.52,6.57,6.73,-0.16,-2.38,3421069.01,2267761.318,Energy,-0.02406131116011732,20150112,6.57
240645,600028.SH,20150113,6.56,6.73,6.5,6.58,6.57,0.01,0.15,2910149.0,1924842.686,Energy,0.0015209128407067448,20150113,6.58
240644,600028.SH,20150114,6.58,6.66,6.51,6.58,6.58,0.0,0.0,2445875.49,1612551.373,Energy,0.0,20150114,6.58
240643,600028.SH,20150115,6.63,6.95,6.56,6.9,6.58,0.32,4.86,4338809.37,2925547.926,Energy,0.047486666265987874,20150115,6.9
240642,600028.SH,20150116,6.85,7.04,6.83,6.93,6.9,0.03,0.43,4936141.9,3416396.945,Energy,0.004338401598598141,20150116,6.93
240641,600028.SH,20150119,6.53,6.74,6.24,6.24,6.93,-0.69,-9.96,5886693.82,3795939.51,Energy,-0.10487963082047552,20150119,6.24
240640,600028.SH,20150120,6.27,6.44,6.19,6.32,6.24,0.08,1.28,4058357.83,2565096.319,Energy,0.012739025777429712,20150120,6.32
240639,600028.SH,20150121,6.31,6.7,6.24,6.6,6.32,0.28,4.43,5068504.77,3275542.927,Energy,0.04335044087361361,20150121,6.6
