,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
33187,000617.SZ,20150105,9.62,10.25,9.51,10.01,9.62,0.39,4.05,31980.48,31507.267,Finance,,20150105,10.01
33186,000617.SZ,20150106,10.1,10.4,10.0,10.23,10.01,0.22,2.2,42071.62,43034.7772,Finance,0.02173998663640604,20150106,10.23
33185,000617.SZ,20150107,10.09,10.23,9.9,10.12,10.23,-0.11,-1.08,27877.42,28039.4509,Finance,-0.01081091610421573,20150107,10.12
33184,000617.SZ,20150108,10.11,10.12,9.94,9.96,10.12,-0.16,-1.58,13938.53,13947.8087,Finance,-0.015936592262812414,20150108,9.96
33183,000617.SZ,20150109,10.02,10.23,9.86,10.14,9.96,0.18,1.81,29986.52,30077.9707,Finance,0.017910926566530243,20150109,10.14
33182,000617.SZ,20150112,10.02,10.18,9.89,9.89,10.14,-0.25,-2.47,20470.39,20464.0962,Finance,-0.024963852528416375,20150112,9.89
33181,000617.SZ,20150113,9.81,10.0,9.81,9.97,9.89,0.08,0.81,11434.77,11350.5244,Finance,0.008056438339126145,20150113,9.97
33180,000617.SZ,20150114,9.97,9.99,9.86,9.95,9.97,-0.02,-0.2,10049.54,9972.3298,Finance,-0.002008032803245746,20150114,9.95
33179,000617.SZ,20150115,9.89,10.03,9.89,10.0,9.95,0.05,0.5,14752.74,14727.1721,Finance,0.005012541823544414,20150115,10.0
33178,000617.SZ,20150116,10.0,10.05,9.88,10.0,10.0,0.0,0.0,20867.97,20786.4797,Finance,0.0,20150116,10.0
33177,000617.SZ,20150119,9.88,10.0,9.55,9.58,10.0,-0.42,-4.2,23652.2,23118.7204,Finance,-0.04290750101127655,20150119,9.58
33176,000617.SZ,20150120,9.58,9.84,9.58,9.8,9.58,0.22,2.3,17869.9,17422.2249,Finance,0.022704793693757098,20150120,9.8
33175,000617.SZ,20150121,9.84,10.05,9.7,10.04,9.8,0.24,2.45,27533.27,27365.5081,Finance,0.024194728587056756,20150121,10.04
33174,000617.SZ,20150122,10.07,10.2,9.95,10.2,10.04,0.16,1.59,32016.09,32258.6761,Finance,0.015810606026642245,20150122,10.2
33173,000617.SZ,20150123,10.16,10.26,10.03,10.07,10.2,-0.13,-1.27,18862.37,19120.416,Finance,-0.012827013559754425,20150123,10.07
33172,000617.SZ,20150126,10.08,10.37,10.06,10.34,10.07,0.27,2.68,33554.75,34363.6893,Finance,0.026459162349812014,20150126,10.34
33171,000617.SZ,20150127,10.39,11.37,10.16,11.37,10.34,1.03,9.96,121324.24,133697.3419,Finance,0.09495843868216144,20150127,11.37
33170,000617.SZ,20150128,11.34,11.39,10.83,10.89,11.37,-0.48,-4.22,79212.62,87802.03,Finance,-0.0431333708175755,20150128,10.89
33169,000617.SZ,20150129,10.8,11.32,10.7,11.0,10.89,0.11,1.01,66756.54,73596.352,Finance,0.010050335853501286,20150129,11.0
33168,000617.SZ,20150130,11.0,11.25,10.79,10.79,11.0,-0.21,-1.91,35727.71,39054.7479,Finance,-0.01927549352832732,20150130,10.79
33167,000617.SZ,20150202,10.55,10.72,10.32,10.4,10.79,-0.39,-3.61,33448.45,35030.7833,Finance,-0.0368139731227162,20150202,10.4
33166,000617.SZ,20150203,10.39,10.57,10.36,10.49,10.4,0.09,0.87,26806.08,28069.2191,Finance,0.008616616260878797,20150203,10.49
33165,000617.SZ,20150204,10.52,10.65,10.41,10.45,10.49,-0.04,-0.38,22677.82,23864.0878,Finance,-0.0038204439973858815,20150204,10.45
33164,000617.SZ,20150205,10.5,10.62,10.24,10.3,10.45,-0.15,-1.44,27637.22,28905.7971,Finance,-0.014458083175229775,20150205,10.3
33163,000617.SZ,20150206,10.29,10.43,10.02,10.07,10.3,-0.23,-2.23,20150.03,20711.0935,Finance,-0.022583188505119173,20150206,10.07
33162,000617.SZ,20150209,10.09,10.2,10.01,10.1,10.07,0.03,0.3,13844.69,13957.1276,Finance,0.002974717116742875,20150209,10.1
33161,000617.SZ,20150210,10.04,10.21,10.01,10.17,10.1,0.07,0.69,10164.51,10281.9033,Finance,0.0069067862132548225,20150210,10.17
