,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
486465,601881.SH,20170123,8.17,9.81,8.17,9.81,6.81,3.0,44.05,4606.05,4500.167,Finance,,20170123,9.81
486464,601881.SH,20170124,10.79,10.79,10.79,10.79,9.81,0.98,9.99,5435.59,5865.002,Finance,0.09521750569277139,20170124,10.79
486463,601881.SH,20170125,11.87,11.87,11.87,11.87,10.79,1.08,10.01,34112.93,40492.048,Finance,0.09539442935153346,20170125,11.87
486462,601881.SH,20170126,12.12,12.56,11.71,11.82,11.87,-0.05,-0.42,2502583.26,3011690.854,Finance,-0.004221196643624419,20170126,11.82
486461,601881.SH,20170203,11.4,11.46,10.94,10.99,11.82,-0.83,-7.02,1373573.55,1524197.506,Finance,-0.07280724356242216,20170203,10.99
486460,601881.SH,20170206,10.92,11.16,10.89,11.09,10.99,0.1,0.91,955408.87,1053024.363,Finance,0.009058032946745639,20170206,11.09
486459,601881.SH,20170207,11.02,11.02,10.73,10.77,11.09,-0.32,-2.89,1015879.8,1103797.758,Finance,-0.029279310193978458,20170207,10.77
486458,601881.SH,20170208,10.72,11.6,10.56,11.44,10.77,0.67,6.22,1816471.43,2017168.279,Finance,0.060351494783354734,20170208,11.44
486457,601881.SH,20170209,11.19,11.56,11.14,11.22,11.44,-0.22,-1.92,1540982.85,1746576.68,Finance,-0.019418085857101513,20170209,11.22
486456,601881.SH,20170210,11.16,12.34,11.13,12.01,11.22,0.79,7.04,2472204.21,2935568.164,Finance,0.06804173599734183,20170210,12.01
486455,601881.SH,20170213,11.85,12.48,11.8,12.21,12.01,0.2,1.67,1973337.37,2404384.52,Finance,0.016515652030721133,20170213,12.21
486454,601881.SH,20170214,12.2,13.39,12.1,12.83,12.21,0.62,5.08,1884155.2,2402167.008,Finance,0.04953089050493162,20170214,12.83
486453,601881.SH,20170215,12.6,13.39,12.43,12.9,12.83,0.07,0.55,1863093.04,2393880.533,Finance,0.005441132740081362,20170215,12.9
486452,601881.SH,20170216,12.7,14.19,12.61,14.19,12.9,1.29,10.0,2581730.91,3509339.243,Finance,0.09531017980432474,20170216,14.19
486451,601881.SH,20170217,14.4,15.61,13.9,13.94,14.19,-0.25,-1.76,3191720.35,4733039.748,Finance,-0.017775085839573518,20170217,13.94
486450,601881.SH,20170220,13.51,14.13,13.33,13.94,13.94,0.0,0.0,1822693.5,2499167.713,Finance,0.0,20170220,13.94
486449,601881.SH,20170221,13.9,14.37,13.55,13.72,13.94,-0.22,-1.58,1422002.01,1984682.225,Finance,-0.015907783034638627,20170221,13.72
486448,601881.SH,20170222,13.6,13.67,13.25,13.4,13.72,-0.32,-2.33,1003472.16,1344697.284,Finance,-0.02359991534087349,20170222,13.4
486447,601881.SH,20170223,13.4,13.72,13.29,13.62,13.4,0.22,1.64,950418.51,1286012.905,Finance,0.016284593764500515,20170223,13.62
486446,601881.SH,20170224,13.51,13.77,13.36,13.65,13.62,0.03,0.22,742322.57,1004518.544,Finance,0.002200220909602559,20170224,13.65
486445,601881.SH,20170227,13.6,13.64,13.2,13.27,13.65,-0.38,-2.78,684112.07,918831.855,Finance,-0.028233673286852612,20170227,13.27
486444,601881.SH,20170228,13.21,13.8,13.21,13.77,13.27,0.5,3.77,1081638.92,1473464.538,Finance,0.03698646439644738,20170228,13.77
486443,601881.SH,20170301,13.8,14.04,13.55,13.61,13.77,-0.16,-1.16,861463.31,1183346.049,Finance,-0.01168749607718882,20170301,13.61
486442,601881.SH,20170302,13.66,14.64,13.58,14.15,13.61,0.54,3.97,1701743.02,2427124.364,Finance,0.03890980742587208,20170302,14.15
486441,601881.SH,20170303,13.97,13.99,13.69,13.86,14.15,-0.29,-2.05,751437.72,1039278.816,Finance,-0.02070763032748954,20170303,13.86
486440,601881.SH,20170306,13.8,14.15,13.7,14.01,13.86,0.15,1.08,699166.94,974714.187,Finance,0.010764366587158484,20170306,14.01
486439,601881.SH,20170307,13.99,14.17,13.78,14.15,14.01,0.14,1.0,722731.83,1011420.581,Finance,0.009943263740331144,20170307,14.15
486438,601881.SH,20170308,14.12,14.14,13.82,13.92,14.15,-0.23,-1.63,599941.7,837891.071,Finance,-0.016387969182973024,20170308,13.92
486437,601881.SH,20170309,13.86,13.93,13.59,13.83,13.92,-0.09,-0.65,665011.1,913326.664,Finance,-0.006486509229606773,20170309,13.83
