,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
39389,000661.SZ,20150105,86.69,87.29,84.52,87.03,86.7,0.33,0.38,18341.97,158289.7502,Healthcare,,20150105,87.03
39388,000661.SZ,20150106,86.53,91.68,85.91,90.4,87.03,3.37,3.87,24387.31,217953.9527,Healthcare,0.037991380596708424,20150106,90.4
39387,000661.SZ,20150107,90.34,90.4,88.05,89.3,90.4,-1.1,-1.22,9140.55,81582.434,Healthcare,-0.012242779515677553,20150107,89.3
39386,000661.SZ,20150108,89.87,91.19,88.7,90.8,89.3,1.5,1.68,13281.69,120192.2459,Healthcare,0.016657797724794195,20150108,90.8
39385,000661.SZ,20150109,90.5,91.19,89.5,89.96,90.8,-0.84,-0.93,9112.1,82364.5837,Healthcare,-0.009294158516132682,20150109,89.96
39384,000661.SZ,20150112,89.75,89.75,86.8,87.4,89.96,-2.56,-2.85,9362.31,81935.8747,Healthcare,-0.028869844429625046,20150112,87.4
39383,000661.SZ,20150113,86.9,92.5,86.9,92.35,87.4,4.95,5.66,26421.95,240774.353,Healthcare,0.055090423983759094,20150113,92.35
39382,000661.SZ,20150114,91.71,92.29,90.4,90.8,92.35,-1.55,-1.68,11556.62,105453.4422,Healthcare,-0.01692642103800138,20150114,90.8
39381,000661.SZ,20150115,90.9,91.59,90.23,90.9,90.8,0.1,0.11,6326.02,57488.9553,Healthcare,0.0011007155761857147,20150115,90.9
39380,000661.SZ,20150116,90.8,92.5,90.05,91.34,90.9,0.44,0.48,9620.83,88260.89,Healthcare,0.004828806573419786,20150116,91.34
39379,000661.SZ,20150119,90.6,95.47,89.89,91.9,91.34,0.56,0.61,16923.49,157475.5254,Healthcare,0.006112221604788445,20150119,91.9
39378,000661.SZ,20150120,92.0,96.49,92.0,94.79,91.9,2.89,3.14,17275.26,163883.8445,Healthcare,0.03096288910330877,20150120,94.79
39377,000661.SZ,20150121,94.95,96.8,93.0,95.6,94.79,0.81,0.85,15813.93,151001.1407,Healthcare,0.008508901592405336,20150121,95.6
39376,000661.SZ,20150122,95.1,95.94,94.5,95.28,95.6,-0.32,-0.33,8619.51,82095.4732,Healthcare,-0.003352895010310879,20150122,95.28
