,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
24910,000425.SZ,20150105,15.0,15.2,14.12,14.91,14.97,-0.06,-0.4,872991.75,1291875.9201,Industry,,20150105,14.91
24909,000425.SZ,20150106,14.7,14.7,14.22,14.4,14.91,-0.51,-3.42,914183.78,1318031.8443,Industry,-0.03480392219469212,20150106,14.4
24908,000425.SZ,20150107,14.4,14.83,14.38,14.74,14.4,0.34,2.36,691170.61,1010974.4627,Industry,0.023336680179235528,20150107,14.74
24907,000425.SZ,20150108,14.7,14.7,14.14,14.15,14.74,-0.59,-4.0,575709.77,823023.2674,Industry,-0.040850262671943895,20150108,14.15
24906,000425.SZ,20150109,14.0,14.46,13.72,13.81,14.15,-0.34,-2.4,708655.06,996417.4257,Industry,-0.024321656668045873,20150109,13.81
24905,000425.SZ,20150112,13.59,13.6,13.11,13.26,13.81,-0.55,-3.98,514225.03,686060.9548,Industry,-0.040640982663484315,20150112,13.26
24904,000425.SZ,20150113,13.26,13.48,13.21,13.36,13.26,0.1,0.75,278250.47,371139.0956,Industry,0.007513183350783192,20150113,13.36
24903,000425.SZ,20150114,13.37,13.45,12.91,13.08,13.36,-0.28,-2.1,308388.18,406749.173,Industry,-0.021180822079447024,20150114,13.08
24902,000425.SZ,20150115,13.08,13.55,13.02,13.55,13.08,0.47,3.59,405879.6,541798.8666,Industry,0.03530220129665729,20150115,13.55
24901,000425.SZ,20150116,13.6,13.88,13.45,13.57,13.55,0.02,0.15,466449.61,634888.0652,Industry,0.0014749265210678467,20150116,13.57
24900,000425.SZ,20150119,12.78,12.98,12.21,12.21,13.57,-1.36,-10.02,625645.49,786572.0132,Industry,-0.1056061857241644,20150119,12.21
24899,000425.SZ,20150120,12.2,12.53,12.05,12.43,12.21,0.22,1.8,423539.86,523689.5564,Industry,0.017857617400006253,20150120,12.43
24898,000425.SZ,20150121,12.46,13.18,12.39,13.05,12.43,0.62,4.99,542749.12,694525.9363,Industry,0.048675228246082745,20150121,13.05
24897,000425.SZ,20150122,13.05,13.25,12.9,13.14,13.05,0.09,0.69,424187.48,555060.0142,Industry,0.0068728792877620504,20150122,13.14
24896,000425.SZ,20150123,13.25,13.4,13.0,13.1,13.14,-0.04,-0.3,413453.13,546872.2693,Industry,-0.0030487828493587043,20150123,13.1
24895,000425.SZ,20150126,13.08,13.22,13.04,13.2,13.1,0.1,0.76,314439.53,413370.8324,Industry,0.0076045993852192125,20150126,13.2
24894,000425.SZ,20150127,13.24,13.5,13.1,13.46,13.2,0.26,1.97,572235.0,760407.4018,Industry,0.019505494624256645,20150127,13.46
24893,000425.SZ,20150128,13.3,13.46,13.04,13.11,13.46,-0.35,-2.6,403546.88,534302.3376,Industry,-0.026347026440973406,20150128,13.11
24892,000425.SZ,20150129,13.0,13.0,12.62,12.68,13.11,-0.43,-3.28,392985.3,501776.1577,Industry,-0.03334934876652861,20150129,12.68
24891,000425.SZ,20150130,12.48,12.5,11.51,11.87,12.68,-0.81,-6.39,1043889.89,1252931.3417,Industry,-0.06601174038750325,20150130,11.87
24890,000425.SZ,20150202,11.58,11.82,11.26,11.35,11.87,-0.52,-4.38,592404.46,679200.4634,Industry,-0.044796464694165004,20150202,11.35
24889,000425.SZ,20150203,11.49,11.83,11.29,11.83,11.35,0.48,4.23,575225.9,661002.8424,Industry,0.041420934062883656,20150203,11.83
24888,000425.SZ,20150204,11.65,11.79,11.53,11.59,11.83,-0.24,-2.03,481983.61,562723.9347,Industry,-0.020496020638635124,20150204,11.59
24887,000425.SZ,20150205,11.81,11.85,11.37,11.37,11.59,-0.22,-1.9,480515.26,558095.7947,Industry,-0.019164349589215715,20150205,11.37
24886,000425.SZ,20150206,11.31,11.59,11.18,11.37,11.37,0.0,0.0,435567.02,494323.4002,Industry,0.0,20150206,11.37
24885,000425.SZ,20150209,11.38,11.66,11.33,11.64,11.37,0.27,2.37,344295.72,397682.2427,Industry,0.02346913454084731,20150209,11.64
24884,000425.SZ,20150210,11.66,11.94,11.61,11.84,11.64,0.2,1.72,392643.12,463118.6437,Industry,0.0170361871525678,20150210,11.84
24883,000425.SZ,20150211,11.89,11.92,11.7,11.78,11.84,-0.06,-0.51,243070.64,286424.651,Industry,-0.005080451232419064,20150211,11.78
24882,000425.SZ,20150212,11.78,11.86,11.7,11.8,11.78,0.02,0.17,250617.04,295519.3164,Industry,0.0016963532481785555,20150212,11.8
24881,000425.SZ,20150213,11.88,12.17,11.8,12.01,11.8,0.21,1.78,508669.32,610580.4974,Industry,0.017640104620273094,20150213,12.01
24880,000425.SZ,20150216,12.27,12.68,12.22,12.39,12.01,0.38,3.16,534063.02,664496.0957,Industry,0.031150059549159063,20150216,12.39
24879,000425.SZ,20150217,12.3,12.47,12.27,12.34,12.39,-0.05,-0.4,285400.34,352575.3299,Industry,-0.004043677163809366,20150217,12.34
24878,000425.SZ,20150225,12.37,12.62,12.19,12.46,12.34,0.12,0.97,385022.36,477825.7014,Industry,0.009677494882065438,20150225,12.46
24877,000425.SZ,20150226,12.47,13.71,12.4,13.71,12.46,1.25,10.03,1366350.01,1815133.6205,Industry,0.09560198021491592,20150226,13.71
24876,000425.SZ,20150227,13.75,13.77,13.37,13.5,13.71,-0.21,-1.53,806946.48,1093022.2586,Industry,-0.015435808129839362,20150227,13.5
24875,000425.SZ,20150302,13.85,14.75,13.56,14.07,13.5,0.57,4.22,1022254.28,1446397.6834,Industry,0.04135518568191386,20150302,14.07
24874,000425.SZ,20150303,14.0,14.29,13.65,13.84,14.07,-0.23,-1.63,647154.4,903775.3854,Industry,-0.016481920936774187,20150303,13.84
24873,000425.SZ,20150304,13.82,14.13,13.6,13.8,13.84,-0.04,-0.29,549366.58,759304.7897,Industry,-0.0028943580263644146,20150304,13.8
24872,000425.SZ,20150305,13.8,13.98,13.52,13.78,13.8,-0.02,-0.14,583815.55,803237.4525,Industry,-0.0014503265776466359,20150305,13.78
24871,000425.SZ,20150306,13.68,14.05,13.6,13.73,13.78,-0.05,-0.36,490544.27,678998.8294,Industry,-0.0036350458056327436,20150306,13.73
24870,000425.SZ,20150309,13.61,14.0,13.3,13.85,13.73,0.12,0.87,698321.82,954829.8395,Industry,0.008702012853467847,20150309,13.85
24869,000425.SZ,20150310,13.87,14.18,13.75,13.98,13.85,0.13,0.94,584996.2,819568.8675,Industry,0.009342504172316824,20150310,13.98
24868,000425.SZ,20150311,13.99,14.2,13.87,13.95,13.98,-0.03,-0.21,500674.76,702045.2706,Industry,-0.0021482285382896063,20150311,13.95
24867,000425.SZ,20150312,14.07,14.08,13.7,13.73,13.95,-0.22,-1.58,463405.02,640966.0236,Industry,-0.01589628848749486,20150312,13.73
24866,000425.SZ,20150313,13.7,14.07,13.7,13.96,13.73,0.23,1.68,514476.69,714978.4311,Industry,0.016612877554346792,20150313,13.96
24865,000425.SZ,20150316,14.02,14.33,13.92,14.22,13.96,0.26,1.86,608777.9,861433.1732,Industry,0.018453327040868477,20150316,14.22
24864,000425.SZ,20150317,14.35,15.28,14.28,14.82,14.22,0.6,4.22,1127867.18,1660541.2323,Industry,0.04132819549284594,20150317,14.82
