,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
378579,601006.SH,20150105,11.0,11.43,10.99,11.2,10.66,0.54,5.07,2650618.89,2959629.612,Industry,,20150105,11.2
378578,601006.SH,20150106,11.1,12.32,10.95,12.18,11.2,0.98,8.75,5411410.34,6513091.373,Industry,0.08388148398070223,20150106,12.18
378577,601006.SH,20150107,11.84,11.99,11.59,11.81,12.18,-0.37,-3.04,3090106.93,3632787.596,Industry,-0.030848632072479933,20150107,11.81
378576,601006.SH,20150108,11.85,12.13,11.52,11.74,11.81,-0.07,-0.59,2479868.47,2944691.995,Industry,-0.005944815809320617,20150108,11.74
378575,601006.SH,20150109,11.69,11.93,11.29,11.32,11.74,-0.42,-3.58,2121263.62,2458800.807,Industry,-0.03643074162491354,20150109,11.32
378574,601006.SH,20150112,11.33,11.62,10.98,11.18,11.32,-0.14,-1.24,1431536.49,1610685.385,Industry,-0.012444605048083864,20150112,11.18
378573,601006.SH,20150113,11.23,11.35,11.06,11.26,11.18,0.08,0.72,744951.72,834998.802,Industry,0.007130154984591269,20150113,11.26
378572,601006.SH,20150114,11.25,11.31,11.03,11.09,11.26,-0.17,-1.51,924552.33,1032821.003,Industry,-0.015212821349268688,20150114,11.09
378571,601006.SH,20150115,11.09,11.37,10.93,11.36,11.09,0.27,2.43,1307124.25,1456735.559,Industry,0.02405461193072954,20150115,11.36
378570,601006.SH,20150116,11.4,11.71,11.35,11.46,11.36,0.1,0.88,1612184.96,1854760.365,Industry,0.008764297993588258,20150116,11.46
378569,601006.SH,20150119,10.8,11.0,10.31,10.31,11.46,-1.15,-10.03,1707456.48,1814340.191,Industry,-0.105748413257725,20150119,10.31
378568,601006.SH,20150120,10.55,10.58,10.1,10.43,10.31,0.12,1.16,1842337.69,1906605.598,Industry,0.011571970983812406,20150120,10.43
378567,601006.SH,20150121,10.49,11.06,10.35,10.99,10.43,0.56,5.37,1736294.79,1859184.062,Industry,0.05229949940284905,20150121,10.99
378566,601006.SH,20150122,11.0,11.05,10.71,10.82,10.99,-0.17,-1.55,978237.02,1060073.943,Industry,-0.015589494997194496,20150122,10.82
