,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
128597,002415.SZ,20150105,22.44,24.61,22.22,24.26,22.37,1.89,8.45,389060.31,923695.7639,Information Technology,,20150105,24.26
128596,002415.SZ,20150106,24.0,26.2,23.8,25.93,24.26,1.67,6.88,406522.8,1038732.8751,Information Technology,0.06657169603466885,20150106,25.93
128595,002415.SZ,20150107,25.8,26.27,25.0,25.75,25.93,-0.18,-0.69,261611.79,671999.1648,Information Technology,-0.006965972440827871,20150107,25.75
128594,002415.SZ,20150108,26.0,26.5,25.7,25.74,25.75,-0.01,-0.04,257542.83,673889.7038,Information Technology,-0.00038842494176456526,20150108,25.74
128593,002415.SZ,20150109,25.61,27.13,25.55,26.38,25.74,0.64,2.49,348527.8,932432.2729,Information Technology,0.02455994512118791,20150109,26.38
128592,002415.SZ,20150112,26.5,27.53,26.5,27.21,26.38,0.83,3.15,256562.69,697350.2212,Information Technology,0.03097840550598649,20150112,27.21
128591,002415.SZ,20150113,27.51,28.1,26.85,27.75,27.21,0.54,1.98,291500.49,802711.2826,Information Technology,0.019651287397288494,20150113,27.75
128590,002415.SZ,20150114,27.65,27.85,26.38,26.75,27.75,-1.0,-3.6,205409.59,552140.7062,Information Technology,-0.03670136685042793,20150114,26.75
128589,002415.SZ,20150115,26.7,26.88,26.13,26.31,26.75,-0.44,-1.64,175947.53,464580.4759,Information Technology,-0.016585378289814278,20150115,26.31
128588,002415.SZ,20150116,26.29,27.76,26.18,27.57,26.31,1.26,4.79,231018.09,624765.3505,Information Technology,0.04677912998350411,20150116,27.57
128587,002415.SZ,20150119,26.8,29.0,26.41,27.25,27.57,-0.32,-1.16,340714.96,948443.629,Information Technology,-0.011674703926452283,20150119,27.25
128586,002415.SZ,20150120,27.43,28.98,27.25,28.65,27.25,1.4,5.14,288309.72,816785.4031,Information Technology,0.050099922051495493,20150120,28.65
128585,002415.SZ,20150121,28.66,29.65,28.12,28.99,28.65,0.34,1.19,273752.35,793480.2753,Information Technology,0.011797499772815488,20150121,28.99
128584,002415.SZ,20150122,29.12,29.36,28.6,28.66,28.99,-0.33,-1.14,195835.89,566386.0475,Information Technology,-0.011448520533538299,20150122,28.66
128583,002415.SZ,20150123,28.95,29.0,27.3,27.52,28.66,-1.14,-3.98,267516.59,746910.635,Information Technology,-0.04058940933488291,20150123,27.52
128582,002415.SZ,20150126,27.88,28.4,27.08,27.92,27.52,0.4,1.45,172413.31,480121.2977,Information Technology,0.014430264829028837,20150126,27.92
128581,002415.SZ,20150127,28.53,28.88,27.68,28.8,27.92,0.88,3.15,275299.55,780979.1155,Information Technology,0.03103210924772846,20150127,28.8
128580,002415.SZ,20150128,28.74,28.8,27.8,28.01,28.8,-0.79,-2.74,194000.39,548347.0975,Information Technology,-0.027813797869883045,20150128,28.01
128579,002415.SZ,20150129,27.51,27.9,27.23,27.42,28.01,-0.59,-2.11,147822.63,406547.7344,Information Technology,-0.021288915137848804,20150129,27.42
