,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
353343,600845.SH,20150112,36.0,36.65,34.6,35.33,33.5,1.83,5.46,23832.45,84223.929,Information Technology,,20150112,35.33
353342,600845.SH,20150113,35.01,37.45,33.36,36.28,35.33,0.95,2.69,28629.26,103803.118,Information Technology,0.026534163875882186,20150113,36.28
353341,600845.SH,20150114,36.15,36.19,34.34,34.5,36.28,-1.78,-4.91,12955.92,45609.703,Information Technology,-0.050307301209621846,20150114,34.5
353340,600845.SH,20150115,34.58,34.79,33.59,34.08,34.5,-0.42,-1.22,10443.94,35563.874,Information Technology,-0.012248622076199086,20150115,34.08
353339,600845.SH,20150116,34.08,36.02,33.99,35.92,34.08,1.84,5.4,20060.03,70618.218,Information Technology,0.052583541472883875,20150116,35.92
353338,600845.SH,20150119,35.9,37.66,35.3,36.39,35.92,0.47,1.31,42333.9,156050.94,Information Technology,0.01299976819006959,20150119,36.39
353337,600845.SH,20150120,36.8,38.57,36.05,38.27,36.39,1.88,5.17,34144.91,129214.322,Information Technology,0.0503722878135425,20150120,38.27
353336,600845.SH,20150121,38.1,38.29,37.37,37.98,38.27,-0.29,-0.76,26244.44,99265.946,Information Technology,-0.007606594053471277,20150121,37.98
353335,600845.SH,20150122,37.9,38.69,37.58,38.19,37.98,0.21,0.55,16758.13,63835.677,Information Technology,0.005513995853284988,20150122,38.19
353334,600845.SH,20150123,38.45,38.49,36.85,36.86,38.19,-1.33,-3.48,15893.06,59412.208,Information Technology,-0.03544674899574757,20150123,36.86
353333,600845.SH,20150126,37.25,37.99,36.91,37.61,36.86,0.75,2.03,14021.09,52574.046,Information Technology,0.02014302024056775,20150126,37.61
353332,600845.SH,20150127,37.05,38.2,36.63,38.0,37.61,0.39,1.04,16214.87,60730.412,Information Technology,0.010316187244140653,20150127,38.0
353331,600845.SH,20150128,37.8,40.0,37.68,38.65,38.0,0.65,1.71,27225.51,106057.833,Information Technology,0.016960615307045197,20150128,38.65
353330,600845.SH,20150129,38.0,39.17,37.69,38.16,38.65,-0.49,-1.27,13341.4,51133.621,Information Technology,-0.012758928453345227,20150129,38.16
353329,600845.SH,20150130,38.46,38.77,36.74,36.83,38.16,-1.33,-3.49,13612.92,51720.21,Information Technology,-0.03547511612311183,20150130,36.83
353328,600845.SH,20150202,36.0,37.88,36.0,37.3,36.83,0.47,1.28,8698.62,32420.258,Information Technology,0.012680596192795993,20150202,37.3
353327,600845.SH,20150203,37.38,39.52,37.15,38.63,37.3,1.33,3.57,19429.03,74894.024,Information Technology,0.03503585002842013,20150203,38.63
353326,600845.SH,20150204,38.71,40.55,38.5,39.01,38.63,0.38,0.98,23620.98,93363.487,Information Technology,0.009788846840374978,20150204,39.01
353325,600845.SH,20150205,39.0,42.89,38.05,42.83,39.01,3.82,9.79,46704.82,190701.394,Information Technology,0.09342076810871448,20150205,42.83
353324,600845.SH,20150206,42.0,42.21,39.99,40.55,42.83,-2.28,-5.32,23219.75,95800.981,Information Technology,-0.05470301106585773,20150206,40.55
353323,600845.SH,20150209,41.8,43.2,41.0,41.11,40.55,0.56,1.38,30284.53,127657.21,Information Technology,0.013715620348365078,20150209,41.11
353322,600845.SH,20150210,40.54,42.39,38.8,41.95,41.11,0.84,2.04,29458.88,118323.446,Information Technology,0.0202270320034282,20150210,41.95
353321,600845.SH,20150211,41.5,44.99,40.97,44.21,41.95,2.26,5.39,32600.67,141612.573,Information Technology,0.052472574924936614,20150211,44.21
353320,600845.SH,20150212,43.7,48.63,43.7,47.06,44.21,2.85,6.45,56467.64,268206.509,Information Technology,0.06247237546106463,20150212,47.06
353319,600845.SH,20150213,47.89,49.0,46.05,48.64,47.06,1.58,3.36,36807.9,174863.036,Information Technology,0.03302285435869513,20150213,48.64
353318,600845.SH,20150216,47.92,49.0,47.1,48.28,48.64,-0.36,-0.74,30820.53,147153.958,Information Technology,-0.007428841428580803,20150216,48.28
353317,600845.SH,20150217,48.2,49.0,47.1,47.69,48.28,-0.59,-1.22,18649.99,89010.082,Information Technology,-0.012295663919197857,20150217,47.69
353316,600845.SH,20150225,47.69,47.69,45.0,46.48,47.69,-1.21,-2.54,14185.05,65522.37,Information Technology,-0.0256996197664772,20150225,46.48
353315,600845.SH,20150226,45.88,47.3,44.89,45.7,46.48,-0.78,-1.68,16469.2,75287.442,Information Technology,-0.0169238146434966,20150226,45.7
353314,600845.SH,20150227,45.99,49.03,45.7,47.79,45.7,2.09,4.57,19992.97,95430.018,Information Technology,0.04471811468990768,20150227,47.79
353313,600845.SH,20150302,48.0,50.0,47.28,49.92,47.79,2.13,4.46,17679.03,86872.34,Information Technology,0.0436053114711054,20150302,49.92
353312,600845.SH,20150303,49.18,49.2,46.49,47.04,49.92,-2.88,-5.77,27093.84,128891.245,Information Technology,-0.059423420470800764,20150303,47.04
353311,600845.SH,20150304,46.33,47.19,45.1,47.1,47.04,0.06,0.13,29203.73,134003.587,Information Technology,0.0012746974320007381,20150304,47.1
353310,600845.SH,20150305,46.5,47.42,45.86,46.74,47.1,-0.36,-0.76,17797.8,82888.816,Information Technology,-0.0076726719116601665,20150305,46.74
353309,600845.SH,20150306,46.75,47.85,45.49,46.72,46.74,-0.02,-0.04,34086.88,158862.784,Information Technology,-0.0004279905907403048,20150306,46.72
353308,600845.SH,20150309,46.95,50.92,46.55,50.34,46.72,3.62,7.75,54028.01,264270.269,Information Technology,0.0746276511871982,20150309,50.34
353307,600845.SH,20150310,50.29,51.54,48.89,50.64,50.34,0.3,0.6,22902.3,114954.433,Information Technology,0.0059417881287508224,20150310,50.64
353306,600845.SH,20150311,50.7,51.0,48.03,48.09,50.64,-2.55,-5.04,42536.79,208239.398,Information Technology,-0.05166752254634939,20150311,48.09
353305,600845.SH,20150312,47.92,48.5,46.8,47.04,48.09,-1.05,-2.18,17190.72,81530.408,Information Technology,-0.022075951699199847,20150312,47.04
353304,600845.SH,20150313,47.03,48.55,47.03,48.21,47.04,1.17,2.49,16162.15,77659.783,Information Technology,0.024568164827159546,20150313,48.21
353303,600845.SH,20150316,48.95,49.91,48.28,49.25,48.21,1.04,2.16,18902.02,93094.83,Information Technology,0.021342899200566975,20150316,49.25
353302,600845.SH,20150317,49.5,49.98,48.32,48.82,49.25,-0.43,-0.87,19847.76,97292.094,Information Technology,-0.008769302653283854,20150317,48.82
353301,600845.SH,20150318,48.51,49.8,48.14,49.78,48.82,0.96,1.97,24193.12,118880.304,Information Technology,0.019473231974631935,20150318,49.78
353300,600845.SH,20150319,49.78,52.0,49.5,50.99,49.78,1.21,2.43,32887.93,167525.956,Information Technology,0.024016238127618415,20150319,50.99
353299,600845.SH,20150320,50.9,54.2,50.68,51.72,50.99,0.73,1.43,51281.7,266328.246,Information Technology,0.014215018836592234,20150320,51.72
353298,600845.SH,20150323,51.59,56.89,50.7,56.89,51.72,5.17,10.0,62010.53,338907.034,Information Technology,0.0952750248588994,20150323,56.89
353297,600845.SH,20150324,59.35,62.58,55.0,61.27,56.89,4.38,7.7,73693.53,433724.464,Information Technology,0.07417074797500717,20150324,61.27
353296,600845.SH,20150325,61.32,66.66,59.0,63.55,61.27,2.28,3.72,46444.59,292340.046,Information Technology,0.036536670897899685,20150325,63.55
353295,600845.SH,20150326,64.0,65.95,58.01,58.74,63.55,-4.81,-7.57,49750.47,307398.291,Information Technology,-0.07870607186498892,20150326,58.74
353294,600845.SH,20150327,58.8,59.8,56.88,57.96,58.74,-0.78,-1.33,26116.83,151403.813,Information Technology,-0.013367808317992367,20150327,57.96
