,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
155703,002756.SZ,20150515,26.09,31.31,26.09,31.31,21.74,9.57,44.02,432.71,1350.5,Materials,,20150515,31.31
155702,002756.SZ,20150518,34.44,34.44,34.44,34.44,31.31,3.13,10.0,123.0,423.612,Materials,0.09528114422121578,20150518,34.44
155701,002756.SZ,20150519,37.88,37.88,37.88,37.88,34.44,3.44,9.99,181.0,685.628,Materials,0.0952045887583475,20150519,37.88
155700,002756.SZ,20150520,41.67,41.67,41.67,41.67,37.88,3.79,10.01,157.0,654.219,Materials,0.09535817711648453,20150520,41.67
155699,002756.SZ,20150521,45.84,45.84,45.84,45.84,41.67,4.17,10.01,256.0,1173.504,Materials,0.09537562697212214,20150521,45.84
155698,002756.SZ,20150522,50.42,50.42,50.42,50.42,45.84,4.58,9.99,361.85,1824.4477,Materials,0.09523084935328953,20150522,50.42
155697,002756.SZ,20150525,55.46,55.46,55.46,55.46,50.42,5.04,10.0,368.0,2040.928,Materials,0.09527411842785828,20150525,55.46
155696,002756.SZ,20150526,61.01,61.01,61.01,61.01,55.46,5.55,10.01,296.4,1808.3364,Materials,0.09537574497612904,20150526,61.01
155695,002756.SZ,20150527,67.11,67.11,67.11,67.11,61.01,6.1,10.0,304.0,2040.144,Materials,0.09529527900638689,20150527,67.11
155694,002756.SZ,20150528,73.82,73.82,73.82,73.82,67.11,6.71,10.0,1551.96,11456.5687,Materials,0.09529663343170451,20150528,73.82
155693,002756.SZ,20150529,81.2,81.2,81.2,81.2,73.82,7.38,10.0,6893.19,55972.7028,Materials,0.09528554956577985,20150529,81.2
155692,002756.SZ,20150601,89.32,89.32,89.32,89.32,81.2,8.12,10.0,897.0,8012.004,Materials,0.09531017980432474,20150601,89.32
155691,002756.SZ,20150602,98.25,98.25,98.25,98.25,89.32,8.93,10.0,1273.7,12514.1025,Materials,0.09528982377741363,20150602,98.25
155690,002756.SZ,20150603,108.08,108.08,103.87,108.08,98.25,9.83,10.01,97128.72,1047496.8888,Materials,0.09535644290257282,20150603,108.08
155689,002756.SZ,20150604,113.0,113.0,97.27,97.27,108.08,-10.81,-10.0,156777.8,1600429.0426,Materials,-0.1053810767705945,20150604,97.27
155688,002756.SZ,20150605,91.0,95.97,87.54,89.51,97.27,-7.76,-7.98,164320.95,1476295.6335,Materials,-0.08314026599850127,20150605,89.51
155687,002756.SZ,20150608,86.99,89.0,82.35,83.1,89.51,-6.41,-7.16,113124.66,965711.2345,Materials,-0.07430564902144518,20150608,83.1
155686,002756.SZ,20150609,81.6,86.5,81.11,84.47,83.1,1.37,1.65,68624.26,580344.8547,Materials,0.016351739878002942,20150609,84.47
155685,002756.SZ,20150610,82.88,88.57,81.8,86.56,84.47,2.09,2.47,83976.45,726960.8445,Materials,0.02444137335876623,20150610,86.56
155684,002756.SZ,20150611,86.95,95.22,84.96,95.22,86.56,8.66,10.0,105591.13,968901.6277,Materials,0.09535218866820133,20150611,95.22
155683,002756.SZ,20150612,99.0,103.3,85.8,86.12,95.22,-9.1,-9.56,153564.95,1446434.6012,Materials,-0.1004483312702103,20150612,86.12
155682,002756.SZ,20150615,80.12,81.86,77.51,77.51,86.12,-8.61,-10.0,74777.4,586409.3224,Materials,-0.10533471220274221,20150615,77.51
155681,002756.SZ,20150616,72.02,75.05,70.0,70.24,77.51,-7.27,-9.38,80793.77,578692.1282,Materials,-0.09848901096655896,20150616,70.24
155680,002756.SZ,20150617,71.08,73.97,68.8,73.35,70.24,3.11,4.43,56101.14,402345.8108,Materials,0.04332455526212952,20150617,73.35
155679,002756.SZ,20150618,73.0,73.0,66.02,66.02,73.35,-7.33,-9.99,52150.81,361694.5635,Materials,-0.10528477816394372,20150618,66.02
155678,002756.SZ,20150619,63.5,72.5,61.0,64.97,66.02,-1.05,-1.59,56272.28,371204.9874,Materials,-0.01603210153260731,20150619,64.97
155677,002756.SZ,20150623,66.45,71.0,65.1,69.83,64.97,4.86,7.48,52823.06,359237.9403,Materials,0.07213809196550434,20150623,69.83
155676,002756.SZ,20150624,71.0,71.5,66.59,67.7,69.83,-2.13,-3.05,56921.17,390506.8601,Materials,-0.030977536939714553,20150624,67.7
155675,002756.SZ,20150625,67.75,67.75,62.04,62.49,67.7,-5.21,-7.7,44065.72,285429.9114,Materials,-0.08007963597723898,20150625,62.49
155674,002756.SZ,20150626,59.92,61.0,56.24,56.24,62.49,-6.25,-10.0,46819.19,270151.7009,Materials,-0.10537829643858085,20150626,56.24
155673,002756.SZ,20150629,56.9,56.9,50.62,50.62,56.24,-5.62,-9.99,57983.09,302300.6111,Materials,-0.10528149238543161,20150629,50.62
155672,002756.SZ,20150630,46.46,54.24,45.56,53.09,50.62,2.47,4.88,79194.7,388947.0097,Materials,0.04764183147860227,20150630,53.09
155671,002756.SZ,20150701,50.8,55.2,48.8,49.0,53.09,-4.09,-7.7,59596.28,314198.4498,Materials,-0.08016828848495362,20150701,49.0
155670,002756.SZ,20150702,48.8,49.79,44.48,44.7,49.0,-4.3,-8.78,40609.83,191210.7437,Materials,-0.0918467964911034,20150702,44.7
155669,002756.SZ,20150703,44.26,46.66,40.6,41.79,44.7,-2.91,-6.51,42080.65,182414.9555,Materials,-0.06731642515969918,20150703,41.79
155668,002756.SZ,20150706,45.97,45.97,40.3,42.13,41.79,0.34,0.81,52470.24,228025.0663,Materials,0.008102999531101166,20150706,42.13
