,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
312081,600547.SH,20150105,19.86,21.51,19.65,21.3,19.85,1.45,7.3,760078.16,1586795.493,Materials,,20150105,21.3
312080,600547.SH,20150106,21.25,22.11,20.87,21.54,21.3,0.24,1.13,545850.86,1171048.078,Materials,0.011204599012863062,20150106,21.54
312079,600547.SH,20150107,21.9,23.69,21.9,23.69,21.54,2.15,9.98,1105810.21,2573749.99,Materials,0.09514134644245177,20150107,23.69
312078,600547.SH,20150108,23.0,23.36,22.62,23.06,23.69,-0.63,-2.66,601388.61,1383014.562,Materials,-0.026953503329781223,20150108,23.06
312077,600547.SH,20150109,22.79,23.5,22.4,22.6,23.06,-0.46,-1.99,430947.37,989660.071,Materials,-0.02014960856267271,20150109,22.6
312076,600547.SH,20150112,22.93,23.19,22.6,22.9,22.6,0.3,1.33,375211.94,859749.382,Materials,0.013187004281953681,20150112,22.9
312075,600547.SH,20150113,23.35,23.78,22.06,22.34,22.9,-0.56,-2.45,494853.42,1138738.82,Materials,-0.024758116919139237,20150113,22.34
312074,600547.SH,20150114,22.03,22.25,21.15,21.54,22.34,-0.8,-3.58,353413.78,764272.974,Materials,-0.03646712191281217,20150114,21.54
312073,600547.SH,20150115,21.6,21.98,21.22,21.94,21.54,0.4,1.86,228639.42,495202.852,Materials,0.018399783118841696,20150115,21.94
312072,600547.SH,20150116,24.0,24.04,22.92,23.5,21.94,1.56,7.11,706782.53,1661802.983,Materials,0.06868896630302908,20150116,23.5
312071,600547.SH,20150119,23.5,25.38,23.18,24.16,23.5,0.66,2.81,887829.85,2175605.011,Materials,0.02769795191650098,20150119,24.16
312070,600547.SH,20150120,23.8,25.15,23.5,24.98,24.16,0.82,3.39,631651.8,1547451.706,Materials,0.03337713163081735,20150120,24.98
312069,600547.SH,20150121,26.05,27.2,25.63,27.03,24.98,2.05,8.21,768775.95,2020495.622,Materials,0.07887185559092459,20150121,27.03
312068,600547.SH,20150122,26.17,29.73,26.07,28.58,27.03,1.55,5.73,938617.14,2644650.941,Materials,0.05575981221336504,20150122,28.58
312067,600547.SH,20150123,29.5,30.0,28.0,28.28,28.58,-0.3,-1.05,740227.35,2141892.406,Materials,-0.010552331473349285,20150123,28.28
312066,600547.SH,20150126,28.31,29.13,27.68,28.6,28.28,0.32,1.13,425970.74,1213296.49,Materials,0.011251876797434847,20150126,28.6
312065,600547.SH,20150127,28.0,28.1,27.11,27.72,28.6,-0.88,-3.08,556428.73,1532316.008,Materials,-0.03125254350410454,20150127,27.72
312064,600547.SH,20150128,27.9,28.35,27.18,27.23,27.72,-0.49,-1.77,340269.3,941299.917,Materials,-0.0178348676360342,20150128,27.23
312063,600547.SH,20150129,26.66,26.66,25.61,26.19,27.23,-1.04,-3.82,432472.71,1131101.874,Materials,-0.0389416481660477,20150129,26.19
312062,600547.SH,20150130,25.33,26.44,25.3,25.65,26.19,-0.54,-2.06,358658.06,923780.252,Materials,-0.02083408690284214,20150130,25.65
312061,600547.SH,20150202,26.0,26.79,25.7,26.54,25.65,0.89,3.47,364436.91,962065.35,Materials,0.034109457287282915,20150202,26.54
312060,600547.SH,20150203,26.6,26.62,25.65,26.58,26.54,0.04,0.15,308109.29,802697.744,Materials,0.0015060243810378574,20150203,26.58
312059,600547.SH,20150204,25.88,26.21,25.78,26.14,26.58,-0.44,-1.66,231480.08,602265.794,Materials,-0.016692345089023244,20150204,26.14
312058,600547.SH,20150205,26.6,26.7,25.58,25.64,26.14,-0.5,-1.91,249019.12,649384.641,Materials,-0.0193130761436066,20150205,25.64
312057,600547.SH,20150206,25.4,25.4,24.3,24.44,25.64,-1.2,-4.68,324432.77,801535.199,Materials,-0.047932497749074675,20150206,24.44
312056,600547.SH,20150209,23.72,23.84,22.8,23.68,24.44,-0.76,-3.11,343287.53,803246.865,Materials,-0.031590324287589705,20150209,23.68
312055,600547.SH,20150210,23.65,24.14,23.4,24.03,23.68,0.35,1.48,199136.27,476428.917,Materials,0.014672239732572688,20150210,24.03
312054,600547.SH,20150211,23.89,24.57,23.6,24.15,24.03,0.12,0.5,193637.71,466815.207,Materials,0.0049813303502039405,20150211,24.15
312053,600547.SH,20150212,23.74,23.95,23.37,23.84,24.15,-0.31,-1.28,220752.64,521822.846,Materials,-0.012919537901432602,20150212,23.84
312052,600547.SH,20150213,24.01,24.96,23.89,24.44,23.84,0.6,2.52,271491.96,663523.161,Materials,0.024856292106245716,20150213,24.44
312051,600547.SH,20150216,24.54,24.63,24.15,24.49,24.44,0.05,0.2,162752.71,397110.992,Materials,0.0020437366606817866,20150216,24.49
312050,600547.SH,20150217,24.47,24.67,24.4,24.56,24.49,0.07,0.29,158369.8,388388.942,Materials,0.002854232314865457,20150217,24.56
312049,600547.SH,20150225,24.08,24.08,23.65,23.99,24.56,-0.57,-2.32,189992.5,452941.598,Materials,-0.023482026427338577,20150225,23.99
312048,600547.SH,20150226,23.97,25.07,23.7,25.03,23.99,1.04,4.34,264620.52,647387.273,Materials,0.0424380285920797,20150226,25.03
312047,600547.SH,20150227,25.0,25.88,24.7,25.62,25.03,0.59,2.36,285947.15,723173.813,Materials,0.02329819102490533,20150227,25.62
312046,600547.SH,20150302,25.89,26.6,25.89,26.2,25.62,0.58,2.26,282148.23,741186.288,Materials,0.022386114298463006,20150302,26.2
312045,600547.SH,20150303,25.98,25.98,25.12,25.19,26.2,-1.01,-3.86,309751.84,788400.497,Materials,-0.03931232040253231,20150303,25.19
312044,600547.SH,20150304,24.98,25.38,24.58,25.24,25.19,0.05,0.2,188449.95,472062.562,Materials,0.0019829473084933768,20150304,25.24
312043,600547.SH,20150305,25.0,25.04,24.46,24.6,25.24,-0.64,-2.54,206818.87,509516.602,Materials,-0.025683594734695118,20150305,24.6
312042,600547.SH,20150306,24.39,24.99,24.3,24.73,24.6,0.13,0.53,168599.69,415777.794,Materials,0.005270638595007574,20150306,24.73
312041,600547.SH,20150309,23.5,24.5,23.5,24.27,24.73,-0.46,-1.86,282824.52,674863.521,Materials,-0.018776061794814822,20150309,24.27
312040,600547.SH,20150310,24.15,24.29,23.91,24.04,24.27,-0.23,-0.95,157718.47,379491.458,Materials,-0.009521910071503182,20150310,24.04
312039,600547.SH,20150311,24.0,24.21,23.6,23.83,24.04,-0.21,-0.87,167925.3,401536.41,Materials,-0.008773818556356068,20150311,23.83
312038,600547.SH,20150312,23.84,24.5,23.6,24.44,23.83,0.61,2.56,251548.0,604145.334,Materials,0.025275843192743914,20150312,24.44
312037,600547.SH,20150313,24.5,24.62,24.07,24.36,24.44,-0.08,-0.33,213792.35,520427.764,Materials,-0.003278691461698347,20150313,24.36
312036,600547.SH,20150316,24.37,24.98,24.18,24.92,24.36,0.56,2.3,275259.6,677423.149,Materials,0.02272825107755631,20150316,24.92
312035,600547.SH,20150317,24.95,25.34,24.7,25.26,24.92,0.34,1.36,406580.48,1018319.232,Materials,0.013551423003092611,20150317,25.26
312034,600547.SH,20150318,25.16,25.99,24.92,25.74,25.26,0.48,1.9,416786.52,1066119.473,Materials,0.018824085245635398,20150318,25.74
312033,600547.SH,20150319,26.4,27.49,26.4,26.76,25.74,1.02,3.96,729131.21,1955626.221,Materials,0.038862033092047193,20150319,26.76
312032,600547.SH,20150320,26.85,27.15,26.25,26.34,26.76,-0.42,-1.57,434232.31,1148719.49,Materials,-0.015819538944892766,20150320,26.34
312031,600547.SH,20150323,26.83,27.2,26.63,26.89,26.34,0.55,2.09,444263.8,1196382.053,Materials,0.020665773965638318,20150323,26.89
312030,600547.SH,20150324,26.91,28.88,26.56,28.08,26.89,1.19,4.43,686940.95,1900846.251,Materials,0.04330310887683697,20150324,28.08
312029,600547.SH,20150325,27.95,27.95,27.0,27.12,28.08,-0.96,-3.42,418077.03,1146019.889,Materials,-0.034786116085415424,20150325,27.12
