,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
8314,000069.SZ,20150105,8.56,8.97,8.51,8.62,8.25,0.37,4.48,2905056.18,2534978.3298,Real Estate,,20150105,8.62
8313,000069.SZ,20150106,8.58,8.59,8.13,8.28,8.62,-0.34,-3.94,1431714.29,1190604.0984,Real Estate,-0.04024211627843336,20150106,8.28
8312,000069.SZ,20150107,8.27,8.43,7.99,8.17,8.28,-0.11,-1.33,1264409.06,1035637.4496,Real Estate,-0.013374059525256755,20150107,8.17
8311,000069.SZ,20150108,8.2,8.23,7.8,7.85,8.17,-0.32,-3.92,1243870.98,983316.628,Real Estate,-0.03995537707759451,20150108,7.85
8310,000069.SZ,20150109,7.81,8.12,7.7,7.74,7.85,-0.11,-1.4,1468825.23,1160141.2295,Real Estate,-0.014111844192681201,20150109,7.74
8309,000069.SZ,20150112,7.63,7.66,7.39,7.55,7.74,-0.19,-2.45,1368986.83,1027848.7822,Real Estate,-0.024854124340702496,20150112,7.55
8308,000069.SZ,20150113,7.56,7.71,7.49,7.58,7.55,0.03,0.4,664042.56,505119.1853,Real Estate,0.003965636393346885,20150113,7.58
8307,000069.SZ,20150114,7.61,7.85,7.51,7.63,7.58,0.05,0.66,749130.95,576446.1024,Real Estate,0.006574645642085385,20150114,7.63
8306,000069.SZ,20150115,7.64,7.98,7.61,7.95,7.63,0.32,4.19,1003455.42,783043.8781,Real Estate,0.041084083369874985,20150115,7.95
8305,000069.SZ,20150116,7.95,7.97,7.73,7.88,7.95,-0.07,-0.88,959353.45,751101.6422,Real Estate,-0.008844024796452772,20150116,7.88
8304,000069.SZ,20150119,7.29,7.64,7.09,7.09,7.88,-0.79,-10.03,1303338.61,948000.0741,Real Estate,-0.10564256332575168,20150119,7.09
8303,000069.SZ,20150120,7.15,7.27,7.01,7.16,7.09,0.07,0.99,1477970.68,1055541.1381,Real Estate,0.0098246404285181,20150120,7.16
8302,000069.SZ,20150121,7.16,7.88,7.08,7.88,7.16,0.72,10.06,2535036.03,1898265.0848,Real Estate,0.09581792289723351,20150121,7.88
8301,000069.SZ,20150323,8.67,8.67,8.67,8.67,7.88,0.79,10.03,236569.42,205105.6871,Real Estate,0.09554088692266277,20150323,8.67
8300,000069.SZ,20150324,9.53,9.54,8.9,9.54,8.67,0.87,10.03,5416934.13,5022878.8779,Real Estate,0.09562469466774466,20150324,9.54
8299,000069.SZ,20150325,9.55,9.66,9.18,9.26,9.54,-0.28,-2.94,3057165.99,2862732.4748,Real Estate,-0.0297894368021071,20150325,9.26
8298,000069.SZ,20150326,9.26,9.33,9.03,9.13,9.26,-0.13,-1.4,1783515.45,1632348.2295,Real Estate,-0.014138354051210831,20150326,9.13
8297,000069.SZ,20150327,9.3,9.66,9.3,9.5,9.13,0.37,4.05,2388070.84,2261277.0451,Real Estate,0.03972610399961797,20150327,9.5
8296,000069.SZ,20150330,9.61,10.26,9.37,10.03,9.5,0.53,5.58,3121132.89,3046339.0733,Real Estate,0.054288803367348884,20150330,10.03
8295,000069.SZ,20150331,10.41,10.56,9.5,9.65,10.03,-0.38,-3.79,3382326.86,3406665.5614,Real Estate,-0.03862268662294947,20150331,9.65
8294,000069.SZ,20150401,9.57,9.77,9.5,9.64,9.65,-0.01,-0.1,1933877.63,1857568.79,Real Estate,-0.0010368067284402492,20150401,9.64
8293,000069.SZ,20150402,9.66,9.74,9.35,9.52,9.64,-0.12,-1.24,1677653.23,1593580.7836,Real Estate,-0.012526259819180369,20150402,9.52
8292,000069.SZ,20150403,9.45,9.56,9.3,9.49,9.52,-0.03,-0.32,1427123.46,1344983.2092,Real Estate,-0.003156236181437326,20150403,9.49
8291,000069.SZ,20150407,9.51,9.84,9.48,9.69,9.49,0.2,2.11,2087179.3,2008573.0308,Real Estate,0.020855813280838333,20150407,9.69
8290,000069.SZ,20150408,9.76,9.79,9.4,9.7,9.69,0.01,0.1,2136046.54,2061797.0025,Real Estate,0.0010314596066622124,20150408,9.7
8289,000069.SZ,20150409,9.69,10.3,9.46,10.28,9.7,0.58,5.98,3167490.26,3151971.8288,Real Estate,0.05807437451768192,20150409,10.28
8288,000069.SZ,20150410,10.04,10.28,9.92,10.16,10.28,-0.12,-1.17,1891193.84,1913527.4601,Real Estate,-0.011741817876683174,20150410,10.16
8287,000069.SZ,20150413,10.2,10.38,10.04,10.22,10.16,0.06,0.59,1868005.22,1908254.478,Real Estate,0.005888142625222532,20150413,10.22
8286,000069.SZ,20150414,10.2,10.85,10.06,10.4,10.22,0.18,1.76,2141495.94,2237796.4367,Real Estate,0.01745922137176855,20150414,10.4
8285,000069.SZ,20150415,10.41,10.48,9.95,10.09,10.4,-0.31,-2.98,1517352.06,1548114.8686,Real Estate,-0.030260971781809396,20150415,10.09
8284,000069.SZ,20150416,10.01,10.33,9.92,10.27,10.09,0.18,1.78,1513165.88,1539840.584,Real Estate,0.017682189574949204,20150416,10.27
8283,000069.SZ,20150417,10.36,10.6,10.18,10.37,10.27,0.1,0.97,2328258.13,2422996.3445,Real Estate,0.00968999830096898,20150417,10.37
8282,000069.SZ,20150420,10.49,10.85,10.06,10.16,10.37,-0.21,-2.03,2707467.26,2844765.0304,Real Estate,-0.020458580091100083,20150420,10.16
8281,000069.SZ,20150421,10.2,10.37,10.09,10.34,10.16,0.18,1.77,1642706.57,1683195.0452,Real Estate,0.017561426929947208,20150421,10.34
8280,000069.SZ,20150422,10.35,10.61,10.19,10.59,10.34,0.25,2.42,2296991.83,2399090.4826,Real Estate,0.023890290533032058,20150422,10.59
8279,000069.SZ,20150423,10.81,10.88,10.38,10.47,10.59,-0.12,-1.13,1907469.04,2012539.4882,Real Estate,-0.011396134730869582,20150423,10.47
8278,000069.SZ,20150424,10.3,10.38,10.06,10.18,10.47,-0.29,-2.77,1523680.41,1555753.9107,Real Estate,-0.028089013760068934,20150424,10.18
8277,000069.SZ,20150427,10.28,10.49,10.11,10.3,10.18,0.12,1.18,1745804.15,1794735.6505,Real Estate,0.011718884113213479,20150427,10.3
8276,000069.SZ,20150428,10.28,10.28,9.89,9.97,10.3,-0.33,-3.2,1711765.92,1720079.2782,Real Estate,-0.032563311261843135,20150428,9.97
8275,000069.SZ,20150429,9.98,10.2,9.91,10.11,9.97,0.14,1.4,1322798.91,1330327.4515,Real Estate,0.01394444905863294,20150429,10.11
8274,000069.SZ,20150430,10.16,10.67,10.08,10.37,10.11,0.26,2.57,2427700.39,2521505.0102,Real Estate,0.025391989209055842,20150430,10.37
8273,000069.SZ,20150504,10.37,10.83,10.37,10.61,10.37,0.24,2.31,1812906.57,1923700.6054,Real Estate,0.022879930384455884,20150504,10.61
8272,000069.SZ,20150505,10.69,10.7,9.89,10.0,10.61,-0.61,-5.75,1484267.94,1514823.6763,Real Estate,-0.05921185963184606,20150505,10.0
8271,000069.SZ,20150506,10.08,10.15,9.52,9.68,10.0,-0.32,-3.2,1181083.49,1175508.7513,Real Estate,-0.03252319170556006,20150506,9.68
8270,000069.SZ,20150507,9.6,9.69,9.36,9.42,9.68,-0.26,-2.69,949333.2,905018.523,Real Estate,-0.027226812700213925,20150507,9.42
8269,000069.SZ,20150508,9.52,9.76,9.38,9.7,9.42,0.28,2.97,920374.65,882072.0069,Real Estate,0.02929079692106544,20150508,9.7
8268,000069.SZ,20150511,9.98,10.03,9.74,9.87,9.7,0.17,1.75,1394425.68,1377385.2859,Real Estate,0.017373967936053017,20150511,9.87
8267,000069.SZ,20150512,9.89,9.91,9.71,9.77,9.87,-0.1,-1.01,1142430.41,1117375.4378,Real Estate,-0.010183387390698826,20150512,9.77
8266,000069.SZ,20150513,9.77,10.13,9.58,10.02,9.77,0.25,2.56,1601320.38,1563360.8542,Real Estate,0.02526662960202733,20150513,10.02
8265,000069.SZ,20150514,10.0,10.09,9.72,9.75,10.02,-0.27,-2.69,1017241.89,1003586.7544,Real Estate,-0.027315810646962865,20150514,9.75
8264,000069.SZ,20150515,9.7,9.7,9.28,9.43,9.75,-0.32,-3.28,1022131.57,968180.5958,Real Estate,-0.03337118836438977,20150515,9.43
8263,000069.SZ,20150518,9.36,9.63,9.25,9.38,9.43,-0.05,-0.53,813331.2,768909.4773,Real Estate,-0.00531633362723267,20150518,9.38
8262,000069.SZ,20150519,9.41,9.75,9.41,9.65,9.38,0.27,2.88,1065402.58,1023768.6408,Real Estate,0.028378152332761256,20150519,9.65
8261,000069.SZ,20150520,9.7,9.9,9.65,9.7,9.65,0.05,0.52,1274598.99,1248301.8178,Real Estate,0.005167970158442377,20150520,9.7
8260,000069.SZ,20150521,9.75,9.87,9.55,9.81,9.7,0.11,1.13,1113313.25,1084676.2221,Real Estate,0.011276388067934757,20150521,9.81
8259,000069.SZ,20150522,9.89,10.34,9.81,10.27,9.81,0.46,4.69,2170794.91,2195825.5448,Real Estate,0.04582475036319514,20150522,10.27
8258,000069.SZ,20150525,10.3,10.61,10.22,10.5,10.27,0.23,2.24,2101732.11,2196213.105,Real Estate,0.022148233223010773,20150525,10.5
8257,000069.SZ,20150526,10.59,10.69,10.29,10.65,10.5,0.15,1.43,2388579.42,2513986.441,Real Estate,0.014184634991956381,20150526,10.65
8256,000069.SZ,20150527,11.0,11.72,10.8,11.72,10.65,1.07,10.05,3194049.5,3602759.644,Real Estate,0.09573689199343238,20150527,11.72
8255,000069.SZ,20150528,12.19,12.79,11.05,11.1,11.72,-0.62,-5.29,4168005.76,5050518.0393,Real Estate,-0.05435167583057823,20150528,11.1
8254,000069.SZ,20150529,11.38,11.95,10.91,11.74,11.1,0.64,5.77,3086418.94,3553079.8431,Real Estate,0.05605670608166201,20150529,11.74
8253,000069.SZ,20150601,12.0,12.35,11.7,12.28,11.74,0.54,4.6,2366645.96,2875164.9367,Real Estate,0.044970108319045944,20150601,12.28
8252,000069.SZ,20150602,12.3,12.39,11.87,12.3,12.28,0.02,0.16,2047596.67,2485956.2187,Real Estate,0.0016273396593754076,20150602,12.3
8251,000069.SZ,20150603,12.32,12.38,11.65,11.8,12.3,-0.5,-4.07,1952387.97,2326657.5183,Real Estate,-0.041499730906752734,20150603,11.8
8250,000069.SZ,20150604,11.82,11.9,10.8,11.61,11.8,-0.19,-1.61,1889558.97,2154663.9496,Real Estate,-0.01623273576181908,20150604,11.61
8249,000069.SZ,20150605,11.82,12.14,11.51,11.99,11.61,0.38,3.27,2028468.78,2414372.0932,Real Estate,0.03220617332962271,20150605,11.99
8248,000069.SZ,20150608,12.12,12.2,11.78,12.19,11.99,0.2,1.67,2404603.05,2891496.0025,Real Estate,0.01654297445375722,20150608,12.19
