,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
397902,601155.SH,20151204,22.8,32.99,22.1,29.35,9.82,19.53,198.88,1767140.97,4616589.831,Real Estate,,20151204,29.35
397901,601155.SH,20151207,27.66,28.6,26.42,26.42,29.35,-2.93,-9.98,1132040.93,3057868.495,Real Estate,-0.10517124717992614,20151207,26.42
397900,601155.SH,20151208,24.51,24.98,23.78,23.78,26.42,-2.64,-9.99,537063.85,1291735.504,Real Estate,-0.10527640783154346,20151208,23.78
397899,601155.SH,20151209,22.41,26.16,22.41,26.16,23.78,2.38,10.01,1686560.82,4143059.982,Real Estate,0.09538663532636221,20151209,26.16
397898,601155.SH,20151210,25.29,26.75,23.66,24.27,26.16,-1.89,-7.22,1242427.51,3130266.394,Real Estate,-0.07499050685048798,20151210,24.27
397897,601155.SH,20151211,23.96,23.96,22.4,22.6,24.27,-1.67,-6.88,868532.73,1993879.36,Real Estate,-0.07129111346026978,20151211,22.6
397896,601155.SH,20151214,22.36,22.36,21.27,21.89,22.6,-0.71,-3.14,643220.61,1397602.169,Real Estate,-0.03191999474346866,20151214,21.89
397895,601155.SH,20151215,22.1,23.31,21.66,22.65,21.89,0.76,3.47,861655.52,1927081.651,Real Estate,0.03412994039427131,20151215,22.65
397894,601155.SH,20151216,22.28,22.4,21.8,21.91,22.65,-0.74,-3.27,564671.11,1244727.343,Real Estate,-0.03321669832166784,20151216,21.91
397893,601155.SH,20151217,22.1,22.99,21.93,22.37,21.91,0.46,2.1,711849.07,1599200.527,Real Estate,0.020777621894663197,20151217,22.37
397892,601155.SH,20151218,22.07,22.78,21.91,22.16,22.37,-0.21,-0.94,571124.81,1273248.83,Real Estate,-0.009431913622955264,20151218,22.16
397891,601155.SH,20151221,21.9,22.1,21.5,21.87,22.16,-0.29,-1.31,447821.29,975025.849,Real Estate,-0.013173027190406552,20151221,21.87
397890,601155.SH,20151222,21.87,22.09,21.44,21.63,21.87,-0.24,-1.1,401899.25,871526.483,Real Estate,-0.011034594723709172,20151222,21.63
397889,601155.SH,20151223,21.51,21.97,21.39,21.68,21.63,0.05,0.23,435052.72,943080.397,Real Estate,0.002308936606477986,20151223,21.68
397888,601155.SH,20151224,21.67,23.85,21.6,23.23,21.68,1.55,7.15,1047383.99,2420365.844,Real Estate,0.06905437021087227,20151224,23.23
397887,601155.SH,20151225,22.73,22.96,22.2,22.33,23.23,-0.9,-3.87,562825.19,1262262.806,Real Estate,-0.03951348093025141,20151225,22.33
397886,601155.SH,20151228,22.6,22.77,21.53,21.58,22.33,-0.75,-3.36,468441.77,1035294.468,Real Estate,-0.034164106022077874,20151228,21.58
397885,601155.SH,20151229,21.58,21.99,21.27,21.98,21.58,0.4,1.85,316653.54,683633.189,Real Estate,0.018365989145486896,20151229,21.98
397884,601155.SH,20151230,21.8,21.88,21.41,21.6,21.98,-0.38,-1.73,281671.74,608446.315,Real Estate,-0.017439634285355967,20151230,21.6
397883,601155.SH,20151231,21.52,21.56,20.28,20.31,21.6,-1.29,-5.97,465949.46,970642.683,Real Estate,-0.06157993909782613,20151231,20.31
397882,601155.SH,20160104,20.18,20.18,18.28,18.29,20.31,-2.02,-9.95,393817.69,746726.74,Real Estate,-0.10475891318951903,20160104,18.29
397881,601155.SH,20160105,17.3,18.23,16.59,17.52,18.29,-0.77,-4.21,445079.37,776507.25,Real Estate,-0.04301137689452888,20160105,17.52
397880,601155.SH,20160106,17.63,18.22,17.53,18.09,17.52,0.57,3.25,386847.77,692808.07,Real Estate,0.03201621389895835,20160106,18.09
397879,601155.SH,20160107,17.6,17.65,16.28,16.28,18.09,-1.81,-10.01,111211.13,187203.951,Real Estate,-0.1054219388328094,20160107,16.28
397878,601155.SH,20160108,16.85,16.99,15.0,16.02,16.28,-0.26,-1.6,393904.96,632934.452,Real Estate,-0.016099418934181126,20160108,16.02
397877,601155.SH,20160111,15.52,15.76,14.42,14.42,16.02,-1.6,-9.99,362510.28,545100.581,Real Estate,-0.10522180978341017,20160111,14.42
397876,601155.SH,20160112,14.44,15.18,14.03,14.78,14.42,0.36,2.5,397973.52,584609.674,Real Estate,0.02465878366325269,20160112,14.78
397875,601155.SH,20160113,14.82,15.05,14.07,14.28,14.78,-0.5,-3.38,327643.12,478265.789,Real Estate,-0.03441495860861744,20160113,14.28
397874,601155.SH,20160114,13.7,14.8,13.61,14.66,14.28,0.38,2.66,316305.49,451669.376,Real Estate,0.02626273954706723,20160114,14.66
397873,601155.SH,20160115,14.49,14.66,13.4,13.65,14.66,-1.01,-6.89,303253.99,427718.326,Real Estate,-0.07138317482753666,20160115,13.65
397872,601155.SH,20160118,13.28,14.18,13.28,13.88,13.65,0.23,1.69,271334.91,374237.356,Real Estate,0.016709433447689645,20160118,13.88
397871,601155.SH,20160119,13.79,14.59,13.71,14.49,13.88,0.61,4.39,335142.72,476414.285,Real Estate,0.04300980125393262,20160119,14.49
397870,601155.SH,20160120,14.3,14.44,13.96,14.08,14.49,-0.41,-2.83,312544.44,443466.816,Real Estate,-0.028703405602694635,20160120,14.08
397869,601155.SH,20160121,13.76,14.25,13.5,13.54,14.08,-0.54,-3.84,278577.46,385036.331,Real Estate,-0.039107083245767504,20160121,13.54
397868,601155.SH,20160125,13.36,14.19,12.89,14.15,13.54,0.61,4.51,427727.97,574939.328,Real Estate,0.044066356605117846,20160125,14.15
397867,601155.SH,20160126,13.66,13.97,12.74,12.74,14.15,-1.41,-9.96,347293.57,466332.115,Real Estate,-0.10496797394522935,20160126,12.74
397866,601155.SH,20160127,12.8,12.94,11.72,12.33,12.74,-0.41,-3.22,296658.11,366514.759,Real Estate,-0.032711332967764406,20160127,12.33
397865,601155.SH,20160128,12.11,12.38,11.41,11.62,12.33,-0.71,-5.76,217911.82,262218.252,Real Estate,-0.059307565752487884,20160128,11.62
397864,601155.SH,20160129,11.99,12.45,11.72,12.2,11.62,0.58,4.99,267474.93,323427.586,Real Estate,0.04870820031544572,20160129,12.2
397863,601155.SH,20160201,12.35,12.5,12.03,12.24,12.2,0.04,0.33,234843.03,287718.224,Real Estate,0.0032733253449693297,20160201,12.24
397862,601155.SH,20160202,12.37,12.95,12.28,12.65,12.24,0.41,3.35,288438.01,363532.887,Real Estate,0.032947938089349316,20160202,12.65
397861,601155.SH,20160203,12.8,13.46,12.58,12.95,12.65,0.3,2.37,360659.91,470271.315,Real Estate,0.02343857297201738,20160203,12.95
397860,601155.SH,20160204,12.8,13.3,12.75,13.18,12.95,0.23,1.78,289371.36,377226.112,Real Estate,0.017604740928814415,20160204,13.18
397859,601155.SH,20160205,13.55,13.65,13.0,13.01,13.18,-0.17,-1.29,263016.61,349899.743,Real Estate,-0.01298223654994724,20160205,13.01
397858,601155.SH,20160215,12.55,12.88,12.45,12.75,13.01,-0.26,-2.0,186862.03,236989.943,Real Estate,-0.02018702091997879,20160215,12.75
397857,601155.SH,20160216,12.86,13.5,12.83,13.38,12.75,0.63,4.94,277178.4,367219.886,Real Estate,0.04822978309564737,20160216,13.38
397856,601155.SH,20160217,13.39,13.55,13.11,13.51,13.38,0.13,0.97,315340.72,421210.064,Real Estate,0.009669097272024942,20160217,13.51
397855,601155.SH,20160218,13.98,14.86,13.69,14.86,13.51,1.35,9.99,790720.29,1160562.65,Real Estate,0.09524288731750569,20160218,14.86
397854,601155.SH,20160219,14.45,14.76,14.35,14.52,14.86,-0.34,-2.29,513216.99,744800.295,Real Estate,-0.023146029892963015,20160219,14.52
397853,601155.SH,20160222,14.87,15.57,14.7,15.05,14.52,0.53,3.65,542754.53,821488.965,Real Estate,0.03585098179823471,20160222,15.05
397852,601155.SH,20160223,14.93,15.0,14.5,14.7,15.05,-0.35,-2.33,325983.78,479350.738,Real Estate,-0.02353049741019416,20160223,14.7
397851,601155.SH,20160224,14.58,14.86,14.23,14.65,14.7,-0.05,-0.34,263059.66,382970.038,Real Estate,-0.0034071583216141975,20160224,14.65
397850,601155.SH,20160225,14.57,14.58,13.19,13.19,14.65,-1.46,-9.97,335292.72,462348.21,Real Estate,-0.1049813687338532,20160225,13.19
397849,601155.SH,20160309,14.51,14.51,13.83,13.86,13.19,0.67,5.08,496873.34,709615.13,Real Estate,0.04954802703253394,20160309,13.86
397848,601155.SH,20160310,13.52,13.86,12.95,13.02,13.86,-0.84,-6.06,301112.56,402773.428,Real Estate,-0.06252035698133393,20160310,13.02
397847,601155.SH,20160311,12.86,12.88,12.52,12.77,13.02,-0.25,-1.92,179380.24,228021.48,Real Estate,-0.019387966735975308,20160311,12.77
397846,601155.SH,20160314,12.98,13.39,12.81,13.25,12.77,0.48,3.76,229516.03,302668.248,Real Estate,0.036898882387783265,20160314,13.25
