,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
165748,003816.SZ,20190826,2.99,3.59,2.99,3.59,2.49,1.1,44.1767,68799.2,24576.609,Utilities,,20190826,3.59
165747,003816.SZ,20190827,3.95,3.95,3.95,3.95,3.59,0.36,10.0279,34993.37,13822.381,Utilities,0.09556337641284303,20190827,3.95
165746,003816.SZ,20190828,4.35,4.35,4.35,4.35,3.95,0.4,10.1266,69361.08,30172.069,Utilities,0.09646026618756211,20190828,4.35
165745,003816.SZ,20190829,4.79,4.79,4.79,4.79,4.35,0.44,10.1149,123160.22,58993.745,Utilities,0.09635456632223119,20190829,4.79
165744,003816.SZ,20190830,5.22,5.25,4.8,5.18,4.79,0.39,8.142,12630797.95,6270395.717,Utilities,0.07827464484856783,20190830,5.18
165743,003816.SZ,20190902,4.91,4.96,4.71,4.85,5.18,-0.33,-6.3707,6073342.8,2949143.951,Utilities,-0.06582635132199985,20190902,4.85
165742,003816.SZ,20190903,4.79,4.94,4.7,4.85,4.85,0.0,0.0,4406707.83,2122508.663,Utilities,0.0,20190903,4.85
165741,003816.SZ,20190904,4.8,4.82,4.72,4.76,4.85,-0.09,-1.8557,3521300.98,1676682.246,Utilities,-0.018731036706063124,20190904,4.76
165740,003816.SZ,20190905,4.77,4.94,4.71,4.85,4.76,0.09,1.8908,5433087.4,2623193.312,Utilities,0.018731036706063128,20190905,4.85
165739,003816.SZ,20190906,4.8,4.81,4.72,4.75,4.85,-0.1,-2.0619,3204366.41,1525643.511,Utilities,-0.020834086902841914,20190906,4.75
165738,003816.SZ,20190909,4.78,4.79,4.73,4.77,4.75,0.02,0.4211,2244165.67,1067256.359,Utilities,0.004201686853699977,20190909,4.77
165737,003816.SZ,20190910,4.75,4.76,4.71,4.72,4.77,-0.05,-1.0482,2042609.73,965092.893,Utilities,-0.010537505302785799,20190910,4.72
165736,003816.SZ,20190911,4.72,4.74,4.6,4.61,4.72,-0.11,-2.3305,2913126.75,1357301.131,Utilities,-0.023580942588906684,20190911,4.61
165735,003816.SZ,20190912,4.61,4.61,4.51,4.54,4.61,-0.07,-1.5184,1784611.43,811538.936,Utilities,-0.015300844955300598,20190912,4.54
165734,003816.SZ,20190916,4.55,4.63,4.53,4.58,4.54,0.04,0.8811,1381066.58,633093.736,Utilities,0.008771986072837041,20190916,4.58
165733,003816.SZ,20190917,4.55,4.56,4.44,4.45,4.58,-0.13,-2.8384,1572527.07,704926.494,Utilities,-0.028794901947944755,20190917,4.45
165732,003816.SZ,20190918,4.45,4.47,4.36,4.37,4.45,-0.08,-1.7978,1338894.53,588358.553,Utilities,-0.018141087070650038,20190918,4.37
165731,003816.SZ,20190919,4.36,4.4,4.34,4.38,4.37,0.01,0.2288,829922.46,362308.757,Utilities,0.002285715280855861,20190919,4.38
165730,003816.SZ,20190920,4.38,4.39,4.35,4.36,4.38,-0.02,-0.4566,762149.31,332734.013,Utilities,-0.004576667027411755,20190920,4.36
165729,003816.SZ,20190923,4.35,4.35,4.21,4.23,4.36,-0.13,-2.9817,1201656.12,510944.577,Utilities,-0.030270064302756337,20190923,4.23
165728,003816.SZ,20190924,4.23,4.64,4.22,4.47,4.23,0.24,5.6738,2984939.29,1338806.147,Utilities,0.05518641556729073,20190924,4.47
