,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Industry,Returns,Date,adj close
344855,600795.SH,20150105,4.63,4.9,4.58,4.85,4.63,0.22,4.75,15239664.43,7252060.597,Utilities,,20150105,4.85
344854,600795.SH,20150106,4.77,4.83,4.66,4.73,4.85,-0.12,-2.47,9152487.68,4327314.068,Utilities,-0.025053502445550026,20150106,4.73
344853,600795.SH,20150107,4.71,4.75,4.6,4.7,4.73,-0.03,-0.63,7381931.39,3454853.434,Utilities,-0.006362693787828769,20150107,4.7
344852,600795.SH,20150108,4.66,4.71,4.41,4.43,4.7,-0.27,-5.74,7895610.11,3577038.386,Utilities,-0.05916292465896878,20150108,4.43
344851,600795.SH,20150109,4.38,4.54,4.3,4.36,4.43,-0.07,-1.58,6828003.57,3010488.661,Utilities,-0.01592752669610119,20150109,4.36
344850,600795.SH,20150112,4.3,4.31,4.11,4.15,4.36,-0.21,-4.82,5697652.75,2389208.292,Utilities,-0.049363723118336006,20150112,4.15
344849,600795.SH,20150113,4.12,4.22,4.09,4.19,4.15,0.04,0.96,3877565.87,1618319.127,Utilities,0.009592399691439508,20150113,4.19
344848,600795.SH,20150114,4.22,4.23,4.12,4.16,4.19,-0.03,-0.72,2850397.21,1191767.579,Utilities,-0.007185659660874486,20150114,4.16
344847,600795.SH,20150115,4.15,4.3,4.14,4.3,4.16,0.14,3.37,4644103.99,1961369.269,Utilities,0.03309994842634471,20150115,4.3
344846,600795.SH,20150116,4.32,4.39,4.26,4.29,4.3,-0.01,-0.23,4613135.27,1994789.964,Utilities,-0.0023282897595910735,20150116,4.29
344845,600795.SH,20150119,4.0,4.16,3.86,3.86,4.29,-0.43,-10.02,6612507.93,2637663.246,Utilities,-0.10561954946318616,20150119,3.86
344844,600795.SH,20150120,3.86,3.98,3.81,3.9,3.86,0.04,1.04,5317289.28,2071657.375,Utilities,0.010309369658861287,20150120,3.9
344843,600795.SH,20150121,3.9,4.08,3.86,4.06,3.9,0.16,4.1,6461573.74,2572777.771,Utilities,0.04020642047804039,20150121,4.06
344842,600795.SH,20150122,4.07,4.07,4.0,4.06,4.06,0.0,0.0,3820975.49,1542118.697,Utilities,0.0,20150122,4.06
344841,600795.SH,20150123,4.08,4.14,4.04,4.07,4.06,0.01,0.25,4407018.76,1800844.972,Utilities,0.0024600258408626207,20150123,4.07
344840,600795.SH,20150126,4.06,4.11,4.01,4.1,4.07,0.03,0.74,4064092.18,1650456.209,Utilities,0.007343974255758285,20150126,4.1
344839,600795.SH,20150127,4.08,4.09,3.97,4.05,4.1,-0.05,-1.22,3951678.05,1591628.311,Utilities,-0.01227009259181436,20150127,4.05
344838,600795.SH,20150128,4.02,4.04,3.98,3.99,4.05,-0.06,-1.48,2932067.78,1174290.732,Utilities,-0.014925650216675593,20150128,3.99
344837,600795.SH,20150129,3.96,4.17,3.9,4.11,3.99,0.12,3.01,7781250.18,3176717.588,Utilities,0.02963179760637115,20150129,4.11
344836,600795.SH,20150130,4.11,4.17,4.0,4.01,4.11,-0.1,-2.43,5074451.47,2072748.786,Utilities,-0.024631787189665504,20150130,4.01
344835,600795.SH,20150202,3.91,3.93,3.81,3.83,4.01,-0.18,-4.49,3577142.38,1382363.093,Utilities,-0.045926438125923175,20150202,3.83
344834,600795.SH,20150203,3.85,3.91,3.81,3.89,3.83,0.06,1.57,2682212.79,1034641.642,Utilities,0.015544354437800379,20150203,3.89
344833,600795.SH,20150204,3.9,3.94,3.84,3.85,3.89,-0.04,-1.03,2568904.99,1000404.794,Utilities,-0.01033600933066206,20150204,3.85
